omega,beta0,E,episode,beta,average R^T
1,0,3000,3985,0,-137.611083984375
1,0,3000,4037,0,-136.50924682617188
1,0,3000,4099,0,-138.48980712890625
1,0,3000,4110,0,-137.3924102783203
1,0,3000,4183,0,-133.90896606445312
1,0,3000,4197,0,-136.6938018798828
1,0,3000,4203,0,-134.5724639892578
1,0,3000,4228,0,-130.53480529785156
1,0,3000,4233,0,-131.0699920654297
1,0,3000,4264,0,-131.30197143554688
1,0,3000,4305,0,-133.1982879638672
1,0,3000,4318,0,-133.50540161132812
1,0,3000,4320,0,-132.69569396972656
1,0,3000,4401,0,-137.23410034179688
1,0,3000,4493,0,-131.17333984375
1,0,3000,4510,0,-128.28372192382812
1,0,3000,4531,0,-125.9369888305664
1,0,3000,4629,0,-132.87603759765625
1,0,3000,4665,0,-134.38145446777344
1,0,3000,4669,0,-135.6695098876953
1,0,3000,4677,0,-138.0080108642578
1,0,3000,4751,0,-133.30160522460938
1,0,3000,4789,0,-132.77139282226562
1,0,3000,4801,0,-132.09295654296875
1,0,3000,4803,0,-132.36253356933594
1,0,3000,4841,0,-130.6777801513672
1,0,3000,4853,0,-130.4059295654297
1,0,3000,4895,0,-129.3127899169922
1,0,3000,4963,0,-131.8323211669922
1,0,3000,4972,0,-129.7253875732422
1,0,3000,4975,0,-128.58587646484375
1,0,3000,5051,0,-132.76553344726562
1,0,3000,5053,0,-130.80636596679688
1,0,3000,5107,0,-132.34078979492188
1,0,3000,5135,0,-130.96376037597656
1,0,3000,5201,0,-121.58246612548828
1,0,3000,5240,0,-128.57907104492188
1,0,3000,5330,0,-132.32568359375
1,0,3000,5346,0,-130.3483123779297
1,0,3000,5360,0,-125.12663269042969
1,0,3000,5421,0,-124.85282135009766
1,0,3000,5443,0,-123.63656616210938
1,0,3000,5516,0,-129.09939575195312
1,0,3000,5518,0,-130.10008239746094
1,0,3000,5550,0,-129.16954040527344
1,0,3000,5588,0,-130.55059814453125
1,0,3000,5661,0,-121.88935089111328
1,0,3000,5665,0,-122.0810317993164
1,0,3000,5680,0,-121.36091613769531
1,0,3000,5724,0,-120.8412857055664
1,0,3000,5809,0,-118.25606536865234
1,0,3000,5826,0,-119.7661361694336
1,0,3000,5829,0,-118.62826538085938
1,0,3000,5863,0,-117.46402740478516
1,0,3000,5865,0,-116.9508056640625
1,0,3000,5872,0,-119.22506713867188
1,0,3000,5908,0,-116.65971374511719
1,0,3000,5929,0,-117.92054748535156
1,0,3000,5953,0,-120.75177001953125
1,0,3000,5964,0,-123.17444610595703
1,0,3000,5991,0,-121.89476776123047
1,0,3000,6011,0,-119.56314849853516
1,0,3000,6016,0,-118.6480712890625
1,0,3000,6122,0,-121.16390228271484
1,0,3000,6132,0,-121.480224609375
1,0,3000,6182,0,-119.48423767089844
1,0,3000,6201,0,-120.23869323730469
1,0,3000,6214,0,-119.40410614013672
1,0,3000,6220,0,-120.2984619140625
1,0,3000,6233,0,-119.72947692871094
1,0,3000,6290,0,-114.39630126953125
1,0,3000,6313,0,-115.7525405883789
1,0,3000,6318,0,-115.97023010253906
1,0,3000,6342,0,-118.45086669921875
1,0,3000,6364,0,-119.27079772949219
1,0,3000,6377,0,-119.20171356201172
1,0,3000,6401,0,-119.45966339111328
1,0,3000,6497,0,-117.77896118164062
1,0,3000,6521,0,-115.19683074951172
1,0,3000,6575,0,-117.16058349609375
1,0,3000,6585,0,-116.58445739746094
1,0,3000,6604,0,-115.48675537109375
1,0,3000,6658,0,-124.26580047607422
1,0,3000,6697,0,-118.61170196533203
1,0,3000,6700,0,-117.28695678710938
1,0,3000,6712,0,-115.83438873291016
1,0,3000,6739,0,-117.25749206542969
1,0,3000,6743,0,-117.18112182617188
1,0,3000,6847,0,-113.70306396484375
1,0,3000,6855,0,-113.45223236083984
1,0,3000,6870,0,-115.04719543457031
1,0,3000,6967,0,-114.00147247314453
1,0,3000,6993,0,-116.44171142578125
1,0,3000,7015,0,-116.83894348144531
1,0,3000,7107,0,-113.72379302978516
1,0,3000,7115,0,-113.62745666503906
1,0,3000,7156,0,-113.76361846923828
1,0,3000,7217,0,-112.56045532226562
1,0,3000,7248,0,-114.48837280273438
1,0,3000,7312,0,-114.19038391113281
1,0,3000,7330,0,-112.99266815185547
1,0,3000,7340,0,-113.73052215576172
1,0,3000,7341,0,-113.26566314697266
1,0,3000,7360,0,-113.11339569091797
1,0,3000,7383,0,-116.9848861694336
1,0,3000,7402,0,-116.23104858398438
1,0,3000,7451,0,-114.67505645751953
1,0,3000,7461,0,-115.4931869506836
1,0,3000,7464,0,-115.5304183959961
1,0,3000,7479,0,-114.2325668334961
1,0,3000,7512,0,-114.44581604003906
1,0,3000,7610,0,-112.76624298095703
1,0,3000,7645,0,-111.28385925292969
1,0,3000,7688,0,-112.12537384033203
1,0,3000,7694,0,-113.3499755859375
1,0,3000,7761,0,-111.85569763183594
1,0,3000,7781,0,-113.34326171875
1,0,3000,7789,0,-112.99053955078125
1,0,3000,7799,0,-115.23341369628906
1,0,3000,7834,0,-115.1712417602539
1,0,3000,7901,0,-116.20532989501953
1,0,3000,7933,0,-118.11766052246094
1,0,3000,7992,0,-113.52665710449219
1,0,3000,8027,0,-111.08882904052734
1,0,3000,8038,0,-113.2567138671875
1,0,3000,8050,0,-112.76664733886719
1,0,3000,8067,0,-114.0177230834961
1,0,3000,8181,0,-113.80054473876953
1,0,3000,8216,0,-112.51506042480469
1,0,3000,8222,0,-111.6418685913086
1,0,3000,8291,0,-109.9526138305664
1,0,3000,8335,0,-109.68851470947266
1,0,3000,8341,0,-110.0853042602539
1,0,3000,8364,0,-110.33966064453125
1,0,3000,8369,0,-109.80213165283203
1,0,3000,8378,0,-110.27242279052734
1,0,3000,8468,0,-110.57500457763672
1,0,3000,8471,0,-110.49508666992188
1,0,3000,8499,0,-110.94283294677734
1,0,3000,8509,0,-110.468505859375
1,0,3000,8567,0,-110.42027282714844
1,0,3000,8602,0,-112.02837371826172
1,0,3000,8635,0,-110.67288208007812
1,0,3000,8636,0,-110.41978454589844
1,0,3000,8691,0,-113.61996459960938
1,0,3000,8696,0,-112.85940551757812
1,0,3000,8820,0,-107.70809936523438
1,0,3000,8823,0,-107.69744110107422
1,0,3000,8879,0,-106.58081817626953
1,0,3000,8886,0,-107.42105865478516
1,0,3000,8905,0,-109.88127136230469
1,0,3000,8908,0,-110.3326416015625
1,0,3000,8929,0,-111.34288787841797
1,0,3000,8936,0,-110.8221206665039
1,0,3000,8959,0,-107.76441955566406
1,0,3000,8976,0,-106.72007751464844
1,0,3000,8994,0,-108.23233795166016
1,0,3000,9000,0,-108.8931655883789
1,0,3000,9010,0,-109.42667388916016
1,0,3000,9056,0,-108.12330627441406
1,0,3000,9064,0,-108.89214324951172
1,0,3000,9227,0,-107.3607177734375
1,0,3000,9234,0,-107.03253936767578
1,0,3000,9261,0,-107.4590072631836
1,0,3000,9308,0,-106.39971160888672
1,0,3000,9317,0,-106.0996322631836
1,0,3000,9349,0,-106.04266357421875
1,0,3000,9370,0,-105.62833404541016
1,0,3000,9413,0,-106.8926010131836
1,0,3000,9416,0,-106.67345428466797
1,0,3000,9436,0,-106.42106628417969
1,0,3000,9443,0,-106.44606018066406
1,0,3000,9469,0,-107.38118743896484
1,0,3000,9539,0,-106.274658203125
1,0,3000,9548,0,-106.7510986328125
1,0,3000,9555,0,-107.12874603271484
1,0,3000,9568,0,-107.24542236328125
1,0,3000,9590,0,-106.6874008178711
1,0,3000,9628,0,-105.8856201171875
1,0,3000,9658,0,-104.20076751708984
1,0,3000,9681,0,-105.3062973022461
1,0,3000,9699,0,-107.97460174560547
1,0,3000,9769,0,-105.3972396850586
1,0,3000,9841,0,-104.7392807006836
1,0,3000,9844,0,-104.95988464355469
1,0,3000,9884,0,-105.4481201171875
1,0,3000,9908,0,-103.50251007080078
1,0,3000,9973,0,-105.83712768554688
1,0,3000,10051,0,-105.29767608642578
1,0,3000,10056,0,-105.2431411743164
1,0,3000,10059,0,-105.83817291259766
1,0,3000,10085,0,-106.68490600585938
1,0,3000,10129,0,-105.30294799804688
1,0,3000,10145,0,-106.09754943847656
1,0,3000,10169,0,-105.55730438232422
1,0,3000,10186,0,-104.7062759399414
1,0,3000,10257,0,-105.39151000976562
1,0,3000,10277,0,-106.16646575927734
1,0,3000,10284,0,-106.74259948730469
1,0,3000,10397,0,-105.14573669433594
1,0,3000,10400,0,-105.0654067993164
1,0,3000,10421,0,-105.39968872070312
1,0,3000,10480,0,-104.13815307617188
1,0,3000,10490,0,-104.18328857421875
1,0,3000,10494,0,-103.80706787109375
1,0,3000,10523,0,-103.78069305419922
1,0,3000,10555,0,-104.34959411621094
1,0,3000,10556,0,-104.05716705322266
1,0,3000,10608,0,-103.8599853515625
1,0,3000,10625,0,-103.94493103027344
1,0,3000,10639,0,-103.51478576660156
1,0,3000,10655,0,-103.61784362792969
1,0,3000,10672,0,-104.77352905273438
1,0,3000,10712,0,-104.72464752197266
1,0,3000,10758,0,-104.7032241821289
1,0,3000,10759,0,-104.87543487548828
1,0,3000,10781,0,-106.02374267578125
1,0,3000,10788,0,-106.06672668457031
1,0,3000,10816,0,-105.11197662353516
1,0,3000,10826,0,-104.72529602050781
1,0,3000,10831,0,-104.44327545166016
1,0,3000,10842,0,-104.29711151123047
1,0,3000,10851,0,-103.80526733398438
1,0,3000,10865,0,-104.29193115234375
1,0,3000,10903,0,-104.92214965820312
1,0,3000,10906,0,-104.81200408935547
1,0,3000,10940,0,-103.15689086914062
1,0,3000,10944,0,-103.25334167480469
1,0,3000,10967,0,-105.69770050048828
1,0,3000,10973,0,-104.96057891845703
1,0,3000,10975,0,-105.05856323242188
1,0,3000,11015,0,-105.5023422241211
1,0,3000,11021,0,-105.49702453613281
1,0,3000,11034,0,-105.6573715209961
1,0,3000,11039,0,-104.5701675415039
1,0,3000,11103,0,-104.464599609375
1,0,3000,11122,0,-104.50618743896484
1,0,3000,11131,0,-103.9322280883789
1,0,3000,11176,0,-104.30428314208984
1,0,3000,11199,0,-104.91671752929688
1,0,3000,11201,0,-104.9658203125
1,0,3000,11202,0,-104.83961486816406
1,0,3000,11261,0,-104.84778594970703
1,0,3000,11273,0,-104.5331802368164
1,0,3000,11420,0,-104.23245239257812
1,0,3000,11473,0,-103.87416076660156
