omega,beta0,E,episode,beta,average R^T
1,0.5,3000,43,00.492833333333333,-177.6683807373047
1,0.5,3000,46,00.492333333333333,-177.48443603515625
1,0.5,3000,72,00.488000000000000,-181.03009033203125
1,0.5,3000,95,00.484166666666667,-182.61325073242188
1,0.5,3000,159,00.473500000000000,-173.2699737548828
1,0.5,3000,168,00.472000000000000,-172.35414123535156
1,0.5,3000,230,00.461666666666667,-178.69677734375
1,0.5,3000,235,00.460833333333333,-179.1436309814453
1,0.5,3000,256,00.457333333333333,-177.0369415283203
1,0.5,3000,274,00.454333333333333,-183.43775939941406
1,0.5,3000,309,00.448500000000000,-185.7718963623047
1,0.5,3000,311,00.448166666666667,-184.74998474121094
1,0.5,3000,319,00.446833333333333,-180.61041259765625
1,0.5,3000,422,00.429666666666667,-177.51283264160156
1,0.5,3000,461,00.423166666666667,-182.64373779296875
1,0.5,3000,475,00.420833333333333,-174.49159240722656
1,0.5,3000,537,00.410500000000000,-177.3647918701172
1,0.5,3000,564,00.406000000000000,-170.536376953125
1,0.5,3000,580,00.403333333333333,-171.04656982421875
1,0.5,3000,587,00.402166666666667,-171.86428833007812
1,0.5,3000,635,00.394166666666667,-170.4738006591797
1,0.5,3000,648,00.392000000000000,-175.76380920410156
1,0.5,3000,662,00.389666666666667,-177.96221923828125
1,0.5,3000,672,00.388000000000000,-175.5373992919922
1,0.5,3000,715,00.380833333333333,-172.95376586914062
1,0.5,3000,723,00.379500000000000,-172.69114685058594
1,0.5,3000,772,00.371333333333333,-175.3297119140625
1,0.5,3000,786,00.369000000000000,-171.4365997314453
1,0.5,3000,788,00.368666666666667,-172.3202362060547
1,0.5,3000,803,00.366166666666667,-166.06405639648438
1,0.5,3000,809,00.365166666666667,-162.97540283203125
1,0.5,3000,837,00.360500000000000,-164.5337371826172
1,0.5,3000,946,00.342333333333333,-166.7432861328125
1,0.5,3000,972,00.338000000000000,-168.3178253173828
1,0.5,3000,973,00.337833333333333,-166.88563537597656
1,0.5,3000,979,00.336833333333333,-164.90478515625
1,0.5,3000,1006,00.332333333333333,-169.09466552734375
1,0.5,3000,1015,00.330833333333333,-163.7074737548828
1,0.5,3000,1064,00.322666666666667,-168.847412109375
1,0.5,3000,1067,00.322166666666667,-168.3893585205078
1,0.5,3000,1094,00.317666666666667,-164.21978759765625
1,0.5,3000,1105,00.315833333333333,-161.58213806152344
1,0.5,3000,1162,00.306333333333333,-167.77284240722656
1,0.5,3000,1181,00.303166666666667,-162.52999877929688
1,0.5,3000,1262,00.289666666666667,-166.35494995117188
1,0.5,3000,1317,00.280500000000000,-164.21263122558594
1,0.5,3000,1320,00.280000000000000,-163.38441467285156
1,0.5,3000,1334,00.277666666666667,-159.81033325195312
1,0.5,3000,1338,00.277000000000000,-159.7045440673828
1,0.5,3000,1386,00.269000000000000,-166.70652770996094
