alpha,beta0,lambda,Episode,beta,Average over RMS of Value Estimates
0.1,0.0,0.0,1,0.0,0.5172026270026892
0.1,0.0,0.0,2,0.0,0.4960331549162116
0.1,0.0,0.0,3,0.0,0.4760674481058623
0.1,0.0,0.0,4,0.0,0.4563350771615295
0.1,0.0,0.0,5,0.0,0.43818648006409006
0.1,0.0,0.0,6,0.0,0.41906228933870127
0.1,0.0,0.0,7,0.0,0.4012575639707836
0.1,0.0,0.0,8,0.0,0.3846098029688563
0.1,0.0,0.0,9,0.0,0.36987405935031914
0.1,0.0,0.0,10,0.0,0.35577867665384316
0.1,0.0,0.0,11,0.0,0.3414612463244651
0.1,0.0,0.0,12,0.0,0.32807429889572254
0.1,0.0,0.0,13,0.0,0.31474827600996935
0.1,0.0,0.0,14,0.0,0.3032972751295155
0.1,0.0,0.0,15,0.0,0.29128415063399254
0.1,0.0,0.0,16,0.0,0.27906915052840886
0.1,0.0,0.0,17,0.0,0.2688273908060532
0.1,0.0,0.0,18,0.0,0.25894418994224233
0.1,0.0,0.0,19,0.0,0.2484122833051982
0.1,0.0,0.0,20,0.0,0.23801302243649422
0.1,0.0,0.0,21,0.0,0.22964328218303515
0.1,0.0,0.0,22,0.0,0.22031432762262945
0.1,0.0,0.0,23,0.0,0.211394861727085
0.1,0.0,0.0,24,0.0,0.20304312322100207
0.1,0.0,0.0,25,0.0,0.19569683040865385
0.1,0.0,0.0,26,0.0,0.18826486813138582
0.1,0.0,0.0,27,0.0,0.18220362571035897
0.1,0.0,0.0,28,0.0,0.17600078516152948
0.1,0.0,0.0,29,0.0,0.16850506346209054
0.1,0.0,0.0,30,0.0,0.16276720758146934
0.1,0.0,0.0,31,0.0,0.1564924162658507
0.1,0.0,0.0,32,0.0,0.1517141733307731
0.1,0.0,0.0,33,0.0,0.14682292727984758
0.1,0.0,0.0,34,0.0,0.1427191048167811
0.1,0.0,0.0,35,0.0,0.137044021769221
0.1,0.0,0.0,36,0.0,0.13323415853443954
0.1,0.0,0.0,37,0.0,0.1301456597434454
0.1,0.0,0.0,38,0.0,0.12534076272874597
0.1,0.0,0.0,39,0.0,0.1215821629443393
0.1,0.0,0.0,40,0.0,0.11743267075496613
0.1,0.0,0.0,41,0.0,0.11480147090468568
0.1,0.0,0.0,42,0.0,0.11154856612662982
0.1,0.0,0.0,43,0.0,0.10788782595060858
0.1,0.0,0.0,44,0.0,0.10560733557372322
0.1,0.0,0.0,45,0.0,0.10229693404901255
0.1,0.0,0.0,46,0.0,0.100113443663669
0.1,0.0,0.0,47,0.0,0.0983006756739101
0.1,0.0,0.0,48,0.0,0.09619231710229985
0.1,0.0,0.0,49,0.0,0.0946783206739594
0.1,0.0,0.0,50,0.0,0.09220084148630137
0.1,0.0,0.0,51,0.0,0.09052604436006134
0.1,0.0,0.0,52,0.0,0.08844787553275543
0.1,0.0,0.0,53,0.0,0.08731445913231199
0.1,0.0,0.0,54,0.0,0.08589255753022584
0.1,0.0,0.0,55,0.0,0.08458637921418845
0.1,0.0,0.0,56,0.0,0.08333769791851865
