omega,beta0,E,episode,beta,average R^T
100,1.0,4000,6,00.998500000000000,-12846.642578125
100,1.0,4000,19,00.995250000000000,-12270.462890625
100,1.0,4000,25,00.993750000000000,-12220.677734375
100,1.0,4000,41,00.989750000000000,-12313.48828125
100,1.0,4000,43,00.989250000000000,-12317.8642578125
100,1.0,4000,46,00.988500000000000,-12204.3544921875
100,1.0,4000,54,00.986500000000000,-12234.1943359375
100,1.0,4000,57,00.985750000000000,-12233.9736328125
100,1.0,4000,72,00.982000000000000,-12337.0458984375
100,1.0,4000,75,00.981250000000000,-12278.4462890625
100,1.0,4000,95,00.976250000000000,-12040.0009765625
100,1.0,4000,103,00.974250000000000,-11977.4736328125
100,1.0,4000,107,00.973250000000000,-11893.498046875
100,1.0,4000,127,00.968250000000000,-11863.173828125
100,1.0,4000,140,00.965000000000000,-11984.5302734375
100,1.0,4000,156,00.961000000000000,-11980.896484375
100,1.0,4000,159,00.960250000000000,-12037.1611328125
100,1.0,4000,168,00.958000000000000,-12080.240234375
100,1.0,4000,179,00.955250000000000,-11983.072265625
100,1.0,4000,184,00.954000000000000,-11945.966796875
100,1.0,4000,186,00.953500000000000,-11992.16015625
100,1.0,4000,187,00.953250000000000,-11851.93359375
100,1.0,4000,191,00.952250000000000,-11806.900390625
100,1.0,4000,208,00.948000000000000,-11752.296875
100,1.0,4000,230,00.942500000000000,-11695.2255859375
100,1.0,4000,235,00.941250000000000,-11589.6298828125
100,1.0,4000,250,00.937500000000000,-11670.6953125
100,1.0,4000,256,00.936000000000000,-11689.138671875
100,1.0,4000,261,00.934750000000000,-11708.87890625
100,1.0,4000,268,00.933000000000000,-11578.240234375
100,1.0,4000,272,00.932000000000000,-11549.6455078125
100,1.0,4000,274,00.931500000000000,-11476.525390625
100,1.0,4000,293,00.926750000000000,-11736.0732421875
100,1.0,4000,309,00.922750000000000,-11898.19140625
100,1.0,4000,311,00.922250000000000,-11911.359375
100,1.0,4000,319,00.920250000000000,-12069.796875
100,1.0,4000,331,00.917250000000000,-11867.7021484375
100,1.0,4000,340,00.915000000000000,-11777.99609375
100,1.0,4000,348,00.913000000000000,-11686.865234375
100,1.0,4000,364,00.909000000000000,-11315.5107421875
100,1.0,4000,368,00.908000000000000,-11416.9306640625
100,1.0,4000,422,00.894500000000000,-10594.224609375
100,1.0,4000,423,00.894250000000000,-10683.81640625
100,1.0,4000,440,00.890000000000000,-10877.767578125
100,1.0,4000,443,00.889250000000000,-10753.650390625
100,1.0,4000,446,00.888500000000000,-10819.2275390625
100,1.0,4000,461,00.884750000000000,-11106.240234375
100,1.0,4000,464,00.884000000000000,-11153.3271484375
100,1.0,4000,465,00.883750000000000,-11234.013671875
100,1.0,4000,475,00.881250000000000,-11174.8515625
100,1.0,4000,492,00.877000000000000,-11147.7978515625
100,1.0,4000,494,00.876500000000000,-11201.357421875
100,1.0,4000,515,00.871250000000000,-10285.0361328125
100,1.0,4000,518,00.870500000000000,-10233.5751953125
100,1.0,4000,532,00.867000000000000,-9414.8173828125
100,1.0,4000,537,00.865750000000000,-8903.748046875
100,1.0,4000,564,00.859000000000000,-7821.47802734375
100,1.0,4000,574,00.856500000000000,-7410.94140625
100,1.0,4000,580,00.855000000000000,-7241.330078125
100,1.0,4000,582,00.854500000000000,-7207.40966796875
100,1.0,4000,587,00.853250000000000,-6983.31982421875
100,1.0,4000,588,00.853000000000000,-6894.94189453125
100,1.0,4000,603,00.849250000000000,-6212.18798828125
100,1.0,4000,621,00.844750000000000,-5793.14990234375
100,1.0,4000,623,00.844250000000000,-5561.10302734375
100,1.0,4000,635,00.841250000000000,-5242.06787109375
