omega,beta0,E,episode,beta,average R^T
1,1.0,4000,6,00.998500000000000,-8603.11328125
1,1.0,4000,19,00.995250000000000,-8136.67919921875
1,1.0,4000,25,00.993750000000000,-8152.69189453125
1,1.0,4000,41,00.989750000000000,-8554.15234375
1,1.0,4000,43,00.989250000000000,-8609.1806640625
1,1.0,4000,46,00.988500000000000,-8682.751953125
1,1.0,4000,54,00.986500000000000,-8647.1279296875
1,1.0,4000,57,00.985750000000000,-8743.1044921875
1,1.0,4000,72,00.982000000000000,-8996.107421875
1,1.0,4000,75,00.981250000000000,-9040.3818359375
1,1.0,4000,95,00.976250000000000,-8907.9716796875
1,1.0,4000,103,00.974250000000000,-9036.7451171875
1,1.0,4000,107,00.973250000000000,-9100.9853515625
1,1.0,4000,127,00.968250000000000,-9176.693359375
1,1.0,4000,140,00.965000000000000,-9181.4833984375
1,1.0,4000,156,00.961000000000000,-8965.158203125
1,1.0,4000,159,00.960250000000000,-8901.857421875
1,1.0,4000,168,00.958000000000000,-8845.12109375
1,1.0,4000,179,00.955250000000000,-8639.3720703125
1,1.0,4000,184,00.954000000000000,-8494.3251953125
1,1.0,4000,186,00.953500000000000,-8478.388671875
1,1.0,4000,187,00.953250000000000,-8510.3720703125
1,1.0,4000,191,00.952250000000000,-8406.041015625
1,1.0,4000,208,00.948000000000000,-8465.724609375
1,1.0,4000,230,00.942500000000000,-8203.580078125
1,1.0,4000,235,00.941250000000000,-8139.705078125
1,1.0,4000,250,00.937500000000000,-7817.5283203125
1,1.0,4000,256,00.936000000000000,-7611.4208984375
1,1.0,4000,261,00.934750000000000,-7689.56298828125
1,1.0,4000,268,00.933000000000000,-7581.74951171875
1,1.0,4000,272,00.932000000000000,-7215.767578125
1,1.0,4000,274,00.931500000000000,-6999.68408203125
1,1.0,4000,293,00.926750000000000,-6643.69580078125
1,1.0,4000,309,00.922750000000000,-5497.97998046875
1,1.0,4000,311,00.922250000000000,-5291.92431640625
1,1.0,4000,319,00.920250000000000,-4748.033203125
1,1.0,4000,331,00.917250000000000,-4750.06640625
1,1.0,4000,340,00.915000000000000,-4604.24609375
1,1.0,4000,348,00.913000000000000,-4422.47119140625
1,1.0,4000,364,00.909000000000000,-3802.8935546875
1,1.0,4000,368,00.908000000000000,-4062.891845703125
1,1.0,4000,422,00.894500000000000,-1749.488525390625
1,1.0,4000,423,00.894250000000000,-1795.5440673828125
1,1.0,4000,440,00.890000000000000,-1630.2215576171875
1,1.0,4000,443,00.889250000000000,-1542.6436767578125
1,1.0,4000,446,00.888500000000000,-1500.787353515625
1,1.0,4000,461,00.884750000000000,-1051.476806640625
1,1.0,4000,464,00.884000000000000,-1017.46923828125
1,1.0,4000,465,00.883750000000000,-997.4231567382812
1,1.0,4000,475,00.881250000000000,-793.9058837890625
1,1.0,4000,492,00.877000000000000,-426.4668884277344
1,1.0,4000,494,00.876500000000000,-322.3608703613281
1,1.0,4000,515,00.871250000000000,-308.22210693359375
1,1.0,4000,518,00.870500000000000,-302.4111633300781
1,1.0,4000,532,00.867000000000000,-268.8968200683594
1,1.0,4000,537,00.865750000000000,-256.8200378417969
1,1.0,4000,564,00.859000000000000,-204.20887756347656
1,1.0,4000,574,00.856500000000000,-198.36749267578125
1,1.0,4000,580,00.855000000000000,-194.20021057128906
1,1.0,4000,582,00.854500000000000,-194.01773071289062
1,1.0,4000,587,00.853250000000000,-226.0738525390625
1,1.0,4000,588,00.853000000000000,-226.1211395263672
1,1.0,4000,603,00.849250000000000,-235.68524169921875
1,1.0,4000,621,00.844750000000000,-203.8124237060547
1,1.0,4000,623,00.844250000000000,-209.76846313476562
1,1.0,4000,635,00.841250000000000,-221.7509307861328
1,1.0,4000,642,00.839500000000000,-175.8115692138672
1,1.0,4000,643,00.839250000000000,-171.8839111328125
1,1.0,4000,645,00.838750000000000,-169.97474670410156
1,1.0,4000,648,00.838000000000000,-168.40191650390625
1,1.0,4000,650,00.837500000000000,-168.4378204345703
1,1.0,4000,662,00.834500000000000,-166.3195037841797
1,1.0,4000,672,00.832000000000000,-118.82561492919922
1,1.0,4000,684,00.829000000000000,-87.16167449951172
1,1.0,4000,689,00.827750000000000,-75.0218505859375
1,1.0,4000,715,00.821250000000000,-90.05999755859375
1,1.0,4000,719,00.820250000000000,-92.06004333496094
1,1.0,4000,723,00.819250000000000,-102.57418060302734
1,1.0,4000,724,00.819000000000000,-104.73062896728516
1,1.0,4000,731,00.817250000000000,-103.41680145263672
1,1.0,4000,740,00.815000000000000,-102.47645568847656
1,1.0,4000,744,00.814000000000000,-108.98860931396484
1,1.0,4000,748,00.813000000000000,-97.60089111328125
1,1.0,4000,753,00.811750000000000,-95.470947265625
1,1.0,4000,757,00.810750000000000,-91.74564361572266
