omega,beta0,E,episode,beta,average R^T
10,0,4000,1331,0,-9716.033203125
10,0,4000,1334,0,-9694.857421875
10,0,4000,1337,0,-9684.9140625
10,0,4000,1338,0,-9683.0244140625
10,0,4000,1386,0,-9862.1396484375
10,0,4000,1389,0,-9849.115234375
10,0,4000,1392,0,-9820.0595703125
10,0,4000,1393,0,-9818.310546875
10,0,4000,1415,0,-9874.9599609375
10,0,4000,1427,0,-9808.78125
10,0,4000,1429,0,-9734.27734375
10,0,4000,1433,0,-9749.1015625
10,0,4000,1437,0,-9729.0986328125
10,0,4000,1441,0,-9684.2216796875
10,0,4000,1466,0,-9444.859375
10,0,4000,1467,0,-9428.61328125
10,0,4000,1478,0,-9363.7705078125
10,0,4000,1486,0,-9320.228515625
10,0,4000,1490,0,-9377.1064453125
10,0,4000,1492,0,-9387.71484375
10,0,4000,1509,0,-9570.599609375
10,0,4000,1524,0,-9748.974609375
10,0,4000,1528,0,-9817.51171875
10,0,4000,1553,0,-9893.8720703125
10,0,4000,1569,0,-9984.740234375
10,0,4000,1570,0,-9997.490234375
10,0,4000,1585,0,-10070.705078125
10,0,4000,1589,0,-10121.8125
10,0,4000,1598,0,-10159.30859375
10,0,4000,1605,0,-10159.26953125
10,0,4000,1606,0,-10156.462890625
10,0,4000,1619,0,-10179.080078125
10,0,4000,1628,0,-10144.5791015625
10,0,4000,1633,0,-10146.7939453125
10,0,4000,1638,0,-10187.912109375
10,0,4000,1641,0,-10191.3369140625
10,0,4000,1646,0,-10215.802734375
10,0,4000,1649,0,-10231.7861328125
10,0,4000,1661,0,-10294.7236328125
10,0,4000,1669,0,-10345.2548828125
10,0,4000,1676,0,-10350.0546875
10,0,4000,1683,0,-10403.7255859375
10,0,4000,1692,0,-10418.7607421875
10,0,4000,1696,0,-10428.369140625
10,0,4000,1697,0,-10433.251953125
10,0,4000,1698,0,-10431.8857421875
10,0,4000,1700,0,-10436.701171875
10,0,4000,1703,0,-10454.17578125
10,0,4000,1710,0,-10460.0107421875
10,0,4000,1719,0,-10471.30859375
10,0,4000,1729,0,-10496.7998046875
10,0,4000,1733,0,-10484.55859375
10,0,4000,1735,0,-10488.177734375
10,0,4000,1738,0,-10488.3486328125
10,0,4000,1743,0,-10464.7626953125
10,0,4000,1746,0,-10449.6689453125
10,0,4000,1747,0,-10443.1787109375
10,0,4000,1748,0,-10440.0419921875
10,0,4000,1767,0,-10440.40234375
10,0,4000,1776,0,-10455.5927734375
10,0,4000,1782,0,-10476.33203125
10,0,4000,1789,0,-10521.33203125
10,0,4000,1790,0,-10534.36328125
10,0,4000,1799,0,-10598.5302734375
10,0,4000,1806,0,-10631.5556640625
10,0,4000,1818,0,-10653.78515625
10,0,4000,1827,0,-10676.5908203125
10,0,4000,1831,0,-10673.6318359375
10,0,4000,1841,0,-10679.591796875
10,0,4000,1845,0,-10662.705078125
10,0,4000,1854,0,-10670.05078125
10,0,4000,1867,0,-10622.0693359375
10,0,4000,1870,0,-10608.9521484375
10,0,4000,1876,0,-10599.7392578125
10,0,4000,1878,0,-10604.2802734375
10,0,4000,1912,0,-10536.6728515625
10,0,4000,1918,0,-10527.0966796875
10,0,4000,1935,0,-10549.705078125
10,0,4000,1937,0,-10553.6884765625
10,0,4000,1939,0,-10561.880859375
10,0,4000,1945,0,-10567.9853515625
10,0,4000,1948,0,-10575.59765625
10,0,4000,1950,0,-10586.255859375
10,0,4000,1968,0,-10626.392578125
10,0,4000,1982,0,-10659.6318359375
10,0,4000,1984,0,-10663.1591796875
10,0,4000,2002,0,-10649.796875
10,0,4000,2006,0,-10633.0283203125
10,0,4000,2014,0,-10626.0263671875
10,0,4000,2031,0,-10621.287109375
10,0,4000,2037,0,-10643.65234375
10,0,4000,2061,0,-10621.1015625
10,0,4000,2073,0,-10636.705078125
10,0,4000,2074,0,-10630.076171875
10,0,4000,2077,0,-10621.279296875
10,0,4000,2078,0,-10619.91015625
10,0,4000,2080,0,-10617.1162109375
10,0,4000,2082,0,-10608.6533203125
10,0,4000,2086,0,-10584.1826171875
10,0,4000,2090,0,-10591.4560546875
10,0,4000,2095,0,-10594.6591796875
10,0,4000,2097,0,-10581.0302734375
10,0,4000,2112,0,-10594.53125
10,0,4000,2146,0,-10619.716796875
10,0,4000,2150,0,-10636.1611328125
10,0,4000,2152,0,-10639.880859375
10,0,4000,2157,0,-10634.2216796875
10,0,4000,2166,0,-10629.1669921875
10,0,4000,2174,0,-10621.740234375
10,0,4000,2178,0,-10620.412109375
10,0,4000,2188,0,-10593.28515625
10,0,4000,2190,0,-10590.029296875
10,0,4000,2192,0,-10581.9345703125
10,0,4000,2193,0,-10584.5908203125
10,0,4000,2197,0,-10573.8720703125
10,0,4000,2200,0,-10568.599609375
10,0,4000,2208,0,-10584.322265625
10,0,4000,2212,0,-10586.271484375
10,0,4000,2226,0,-10621.39453125
10,0,4000,2232,0,-10628.4033203125
10,0,4000,2237,0,-10631.5654296875
10,0,4000,2238,0,-10632.076171875
10,0,4000,2240,0,-10620.2421875
10,0,4000,2243,0,-10622.2119140625
10,0,4000,2245,0,-10624.1259765625
10,0,4000,2247,0,-10625.1689453125
10,0,4000,2248,0,-10627.603515625
10,0,4000,2255,0,-10612.8193359375
10,0,4000,2258,0,-10599.041015625
10,0,4000,2263,0,-10576.90234375
10,0,4000,2282,0,-10536.3720703125
10,0,4000,2292,0,-10545.49609375
10,0,4000,2298,0,-10559.2578125
10,0,4000,2304,0,-10571.4755859375
10,0,4000,2308,0,-10587.9326171875
10,0,4000,2309,0,-10596.2197265625
10,0,4000,2320,0,-10605.2958984375
10,0,4000,2321,0,-10602.9365234375
10,0,4000,2336,0,-10585.755859375
10,0,4000,2346,0,-10601.0634765625
10,0,4000,2355,0,-10565.27734375
10,0,4000,2372,0,-10579.181640625
10,0,4000,2390,0,-10634.9404296875
10,0,4000,2391,0,-10639.794921875
10,0,4000,2393,0,-10648.275390625
10,0,4000,2403,0,-10676.177734375
10,0,4000,2407,0,-10698.853515625
10,0,4000,2426,0,-10648.28515625
10,0,4000,2437,0,-10597.2900390625
10,0,4000,2445,0,-10429.03515625
10,0,4000,2451,0,-10337.935546875
10,0,4000,2452,0,-10324.23828125
10,0,4000,2454,0,-10266.33984375
10,0,4000,2456,0,-10207.3740234375
10,0,4000,2461,0,-10169.728515625
10,0,4000,2486,0,-9871.2841796875
10,0,4000,2487,0,-9830.7412109375
10,0,4000,2497,0,-9554.2431640625
10,0,4000,2499,0,-9520.373046875
10,0,4000,2504,0,-9485.501953125
10,0,4000,2518,0,-9285.33984375
10,0,4000,2524,0,-9244.8642578125
10,0,4000,2531,0,-9142.4853515625
10,0,4000,2533,0,-9081.6015625
10,0,4000,2548,0,-9246.4775390625
10,0,4000,2552,0,-9174.884765625
10,0,4000,2554,0,-8969.4306640625
10,0,4000,2567,0,-8666.3349609375
10,0,4000,2579,0,-8180.7734375
10,0,4000,2591,0,-7726.7822265625
10,0,4000,2592,0,-7574.63525390625
10,0,4000,2593,0,-7614.30078125
10,0,4000,2601,0,-7083.84423828125
10,0,4000,2607,0,-7103.1171875
10,0,4000,2624,0,-6360.7529296875
10,0,4000,2630,0,-6116.88427734375
10,0,4000,2631,0,-6235.27587890625
10,0,4000,2639,0,-6265.34912109375
10,0,4000,2645,0,-6108.44677734375
10,0,4000,2651,0,-5541.26513671875
10,0,4000,2656,0,-4941.85498046875
10,0,4000,2679,0,-2899.1513671875
10,0,4000,2681,0,-2508.444091796875
10,0,4000,2686,0,-1736.41455078125
10,0,4000,2691,0,-1250.557861328125
10,0,4000,2704,0,-1123.0098876953125
10,0,4000,2711,0,-1277.0877685546875
10,0,4000,2726,0,-1223.088623046875
10,0,4000,2738,0,-1192.556396484375
10,0,4000,2741,0,-1147.8409423828125
10,0,4000,2755,0,-902.204345703125
10,0,4000,2756,0,-887.0987548828125
10,0,4000,2758,0,-741.36083984375
10,0,4000,2790,0,-1244.101806640625
10,0,4000,2791,0,-1293.13232421875
10,0,4000,2792,0,-1292.219482421875
10,0,4000,2799,0,-1291.1077880859375
10,0,4000,2810,0,-1258.90087890625
10,0,4000,2825,0,-905.5772094726562
10,0,4000,2828,0,-788.2213134765625
10,0,4000,2830,0,-761.990234375
10,0,4000,2860,0,-1069.562255859375
10,0,4000,2873,0,-1262.79638671875
10,0,4000,2882,0,-1270.602294921875
10,0,4000,2891,0,-1386.5205078125
10,0,4000,2897,0,-1512.656494140625
10,0,4000,2901,0,-1624.0572509765625
10,0,4000,2918,0,-1743.0487060546875
10,0,4000,2920,0,-1722.65185546875
10,0,4000,2921,0,-1720.987548828125
10,0,4000,2922,0,-1724.591796875
10,0,4000,2933,0,-1748.478759765625
10,0,4000,2951,0,-1258.0516357421875
10,0,4000,2968,0,-1223.8876953125
10,0,4000,2976,0,-1209.0582275390625
10,0,4000,2999,0,-1136.840087890625
10,0,4000,3008,0,-1013.6016845703125
10,0,4000,3010,0,-985.0487670898438
10,0,4000,3012,0,-937.6630249023438
10,0,4000,3016,0,-777.7852172851562
10,0,4000,3017,0,-760.6182250976562
10,0,4000,3028,0,-929.7825317382812
10,0,4000,3031,0,-1048.8074951171875
10,0,4000,3039,0,-1120.0137939453125
10,0,4000,3042,0,-1114.5728759765625
10,0,4000,3051,0,-1115.318359375
10,0,4000,3066,0,-1088.9969482421875
10,0,4000,3070,0,-1113.7882080078125
10,0,4000,3072,0,-1030.5809326171875
10,0,4000,3087,0,-778.034423828125
10,0,4000,3100,0,-840.4913940429688
10,0,4000,3123,0,-912.279296875
10,0,4000,3138,0,-832.4614868164062
10,0,4000,3139,0,-811.3114624023438
10,0,4000,3146,0,-744.0842895507812
10,0,4000,3151,0,-752.3460693359375
10,0,4000,3156,0,-661.6622314453125
10,0,4000,3160,0,-659.1926879882812
10,0,4000,3162,0,-648.9313354492188
10,0,4000,3178,0,-622.0328979492188
10,0,4000,3196,0,-604.6990966796875
10,0,4000,3197,0,-601.766357421875
10,0,4000,3204,0,-618.8037719726562
10,0,4000,3207,0,-630.0925903320312
10,0,4000,3231,0,-661.9835205078125
10,0,4000,3234,0,-695.784912109375
10,0,4000,3241,0,-752.672119140625
10,0,4000,3244,0,-781.1765747070312
10,0,4000,3245,0,-784.9067993164062
10,0,4000,3247,0,-815.0889282226562
10,0,4000,3248,0,-812.5448608398438
10,0,4000,3268,0,-937.33984375
10,0,4000,3273,0,-951.3190307617188
10,0,4000,3282,0,-924.164794921875
10,0,4000,3284,0,-916.8447265625
10,0,4000,3306,0,-784.8526000976562
10,0,4000,3314,0,-708.3917846679688
10,0,4000,3328,0,-730.89599609375
10,0,4000,3329,0,-724.4929809570312
10,0,4000,3334,0,-722.8558959960938
10,0,4000,3339,0,-716.6370239257812
10,0,4000,3346,0,-663.6153564453125
10,0,4000,3375,0,-618.054443359375
10,0,4000,3377,0,-635.5552368164062
10,0,4000,3379,0,-635.4461059570312
10,0,4000,3387,0,-714.4461669921875
10,0,4000,3404,0,-757.7387084960938
10,0,4000,3409,0,-776.9385986328125
10,0,4000,3431,0,-907.8341064453125
10,0,4000,3434,0,-958.6923217773438
10,0,4000,3439,0,-988.5325927734375
10,0,4000,3446,0,-1000.9785766601562
10,0,4000,3450,0,-987.7698974609375
10,0,4000,3452,0,-985.209716796875
10,0,4000,3458,0,-976.153564453125
10,0,4000,3459,0,-992.86083984375
10,0,4000,3465,0,-979.0264282226562
10,0,4000,3472,0,-872.291259765625
10,0,4000,3478,0,-786.7973022460938
10,0,4000,3481,0,-740.3566284179688
10,0,4000,3498,0,-604.7102661132812
10,0,4000,3500,0,-605.3389282226562
10,0,4000,3510,0,-593.1691284179688
10,0,4000,3513,0,-591.6001586914062
10,0,4000,3520,0,-598.5195922851562
10,0,4000,3536,0,-665.2252197265625
10,0,4000,3538,0,-664.24755859375
10,0,4000,3544,0,-676.7994384765625
10,0,4000,3548,0,-678.2911987304688
10,0,4000,3550,0,-693.0701293945312
10,0,4000,3564,0,-767.1439208984375
10,0,4000,3581,0,-808.0595092773438
10,0,4000,3593,0,-846.1764526367188
10,0,4000,3601,0,-885.05859375
10,0,4000,3619,0,-783.8875732421875
10,0,4000,3621,0,-780.5557861328125
10,0,4000,3623,0,-768.7896118164062
10,0,4000,3626,0,-791.177978515625
10,0,4000,3629,0,-825.0286865234375
10,0,4000,3646,0,-724.3573608398438
10,0,4000,3657,0,-661.5443725585938
10,0,4000,3658,0,-656.84912109375
10,0,4000,3671,0,-635.86767578125
10,0,4000,3701,0,-552.3809814453125
10,0,4000,3703,0,-558.576416015625
10,0,4000,3727,0,-601.0758666992188
10,0,4000,3731,0,-598.40771484375
10,0,4000,3733,0,-597.5669555664062
10,0,4000,3739,0,-610.8857421875
10,0,4000,3742,0,-630.827880859375
10,0,4000,3744,0,-639.7763061523438
10,0,4000,3753,0,-641.4725341796875
10,0,4000,3760,0,-644.48193359375
10,0,4000,3773,0,-633.2837524414062
10,0,4000,3781,0,-632.5382080078125
10,0,4000,3794,0,-574.8642578125
10,0,4000,3796,0,-563.8799438476562
10,0,4000,3799,0,-572.940185546875
10,0,4000,3811,0,-547.1366577148438
10,0,4000,3815,0,-604.7933959960938
10,0,4000,3820,0,-646.6181640625
10,0,4000,3822,0,-648.7047729492188
10,0,4000,3832,0,-680.0040283203125
10,0,4000,3836,0,-688.15625
10,0,4000,3849,0,-715.7169189453125
10,0,4000,3865,0,-653.0783081054688
10,0,4000,3870,0,-609.9544677734375
10,0,4000,3877,0,-607.948974609375
10,0,4000,3902,0,-581.5843505859375
10,0,4000,3903,0,-583.2813720703125
10,0,4000,3911,0,-596.4790649414062
10,0,4000,3921,0,-599.517333984375
10,0,4000,3929,0,-604.3215942382812
10,0,4000,3936,0,-617.2938232421875
10,0,4000,3940,0,-618.0010986328125
10,0,4000,3951,0,-603.4609985351562
10,0,4000,3957,0,-603.4931030273438
10,0,4000,3963,0,-611.5601806640625
10,0,4000,3985,0,-625.0382080078125
10,0,4000,3996,0,-625.7037963867188
10,0,4000,4001,0,-623.6275024414062
10,0,4000,4010,0,-614.5210571289062
10,0,4000,4011,0,-608.3731689453125
10,0,4000,4023,0,-617.427734375
10,0,4000,4034,0,-594.2364501953125
10,0,4000,4037,0,-610.8558349609375
10,0,4000,4047,0,-617.5106811523438
10,0,4000,4048,0,-617.8603515625
10,0,4000,4049,0,-617.9271850585938
10,0,4000,4094,0,-808.09375
10,0,4000,4099,0,-796.3422241210938
10,0,4000,4100,0,-790.189208984375
10,0,4000,4110,0,-756.7950439453125
10,0,4000,4183,0,-661.8696899414062
10,0,4000,4194,0,-646.7100830078125
10,0,4000,4195,0,-646.7288208007812
10,0,4000,4197,0,-657.9454956054688
10,0,4000,4199,0,-663.9056396484375
10,0,4000,4202,0,-668.4545288085938
10,0,4000,4203,0,-637.6588745117188
10,0,4000,4205,0,-640.9362182617188
10,0,4000,4228,0,-615.5580444335938
10,0,4000,4233,0,-583.6163940429688
10,0,4000,4236,0,-582.134033203125
10,0,4000,4244,0,-558.5278930664062
10,0,4000,4255,0,-532.0765991210938
10,0,4000,4264,0,-529.5535278320312
10,0,4000,4267,0,-546.62744140625
10,0,4000,4268,0,-546.5678100585938
10,0,4000,4283,0,-537.5642700195312
10,0,4000,4299,0,-607.9557495117188
10,0,4000,4305,0,-603.7758178710938
10,0,4000,4309,0,-604.3424682617188
10,0,4000,4318,0,-583.2352905273438
10,0,4000,4320,0,-575.530029296875
10,0,4000,4329,0,-589.0340576171875
10,0,4000,4333,0,-589.1787109375
10,0,4000,4339,0,-581.2283325195312
10,0,4000,4344,0,-525.85498046875
10,0,4000,4370,0,-544.3974609375
10,0,4000,4379,0,-541.742919921875
10,0,4000,4394,0,-531.4917602539062
10,0,4000,4401,0,-536.209228515625
