omega,beta0,E,episode,beta,average R^T
10,1.0,4000,6,00.998500000000000,-9061.873046875
10,1.0,4000,19,00.995250000000000,-8489.298828125
10,1.0,4000,25,00.993750000000000,-8759.41796875
10,1.0,4000,41,00.989750000000000,-8695.4365234375
10,1.0,4000,43,00.989250000000000,-8741.2314453125
10,1.0,4000,46,00.988500000000000,-8819.6640625
10,1.0,4000,54,00.986500000000000,-8839.3828125
10,1.0,4000,57,00.985750000000000,-8795.767578125
10,1.0,4000,72,00.982000000000000,-8893.2529296875
10,1.0,4000,75,00.981250000000000,-8822.6708984375
10,1.0,4000,95,00.976250000000000,-8669.9580078125
10,1.0,4000,103,00.974250000000000,-8615.83203125
10,1.0,4000,107,00.973250000000000,-8484.9697265625
10,1.0,4000,127,00.968250000000000,-8654.3896484375
10,1.0,4000,140,00.965000000000000,-8626.27734375
10,1.0,4000,156,00.961000000000000,-8806.6865234375
10,1.0,4000,159,00.960250000000000,-8789.771484375
10,1.0,4000,168,00.958000000000000,-8857.068359375
10,1.0,4000,179,00.955250000000000,-8706.8310546875
10,1.0,4000,184,00.954000000000000,-8759.7978515625
10,1.0,4000,186,00.953500000000000,-8852.814453125
10,1.0,4000,187,00.953250000000000,-8901.1416015625
10,1.0,4000,191,00.952250000000000,-8909.5859375
10,1.0,4000,208,00.948000000000000,-8553.072265625
10,1.0,4000,230,00.942500000000000,-8393.369140625
10,1.0,4000,235,00.941250000000000,-8202.1435546875
10,1.0,4000,250,00.937500000000000,-7832.15185546875
10,1.0,4000,256,00.936000000000000,-7666.32373046875
10,1.0,4000,261,00.934750000000000,-7300.64794921875
10,1.0,4000,268,00.933000000000000,-6721.97509765625
10,1.0,4000,272,00.932000000000000,-6406.08056640625
10,1.0,4000,274,00.931500000000000,-6264.6259765625
10,1.0,4000,293,00.926750000000000,-4775.654296875
10,1.0,4000,309,00.922750000000000,-3913.52783203125
10,1.0,4000,311,00.922250000000000,-3833.8857421875
10,1.0,4000,319,00.920250000000000,-3614.2255859375
10,1.0,4000,331,00.917250000000000,-2966.037353515625
10,1.0,4000,340,00.915000000000000,-2530.453369140625
10,1.0,4000,348,00.913000000000000,-1944.764892578125
10,1.0,4000,364,00.909000000000000,-1079.1129150390625
10,1.0,4000,368,00.908000000000000,-800.007080078125
10,1.0,4000,422,00.894500000000000,-664.8080444335938
10,1.0,4000,423,00.894250000000000,-664.1126098632812
10,1.0,4000,440,00.890000000000000,-605.9293212890625
10,1.0,4000,443,00.889250000000000,-637.2781372070312
10,1.0,4000,446,00.888500000000000,-648.6112670898438
10,1.0,4000,461,00.884750000000000,-623.035400390625
10,1.0,4000,464,00.884000000000000,-622.2498779296875
10,1.0,4000,465,00.883750000000000,-622.7846069335938
10,1.0,4000,475,00.881250000000000,-610.7413940429688
10,1.0,4000,492,00.877000000000000,-564.7122802734375
10,1.0,4000,494,00.876500000000000,-549.0159301757812
10,1.0,4000,515,00.871250000000000,-550.0614624023438
10,1.0,4000,518,00.870500000000000,-559.7996826171875
10,1.0,4000,532,00.867000000000000,-569.1433715820312
10,1.0,4000,537,00.865750000000000,-572.4677734375
10,1.0,4000,564,00.859000000000000,-570.9168090820312
10,1.0,4000,574,00.856500000000000,-558.3308715820312
10,1.0,4000,580,00.855000000000000,-569.982421875
10,1.0,4000,582,00.854500000000000,-571.3352661132812
10,1.0,4000,587,00.853250000000000,-573.6842651367188
10,1.0,4000,588,00.853000000000000,-570.3274536132812
10,1.0,4000,603,00.849250000000000,-561.2601928710938
10,1.0,4000,621,00.844750000000000,-560.7061157226562
10,1.0,4000,623,00.844250000000000,-551.2522583007812
10,1.0,4000,635,00.841250000000000,-533.5573120117188
10,1.0,4000,642,00.839500000000000,-547.1067504882812
10,1.0,4000,643,00.839250000000000,-556.3203125
10,1.0,4000,645,00.838750000000000,-566.4760131835938
10,1.0,4000,648,00.838000000000000,-579.173095703125
10,1.0,4000,650,00.837500000000000,-578.6889038085938
10,1.0,4000,662,00.834500000000000,-579.499755859375
10,1.0,4000,672,00.832000000000000,-595.3275146484375
10,1.0,4000,684,00.829000000000000,-609.9920043945312
10,1.0,4000,689,00.827750000000000,-606.1873779296875
10,1.0,4000,715,00.821250000000000,-581.279052734375
10,1.0,4000,719,00.820250000000000,-573.1695556640625
10,1.0,4000,723,00.819250000000000,-561.5371704101562
10,1.0,4000,724,00.819000000000000,-557.0216674804688
10,1.0,4000,731,00.817250000000000,-563.71142578125
10,1.0,4000,740,00.815000000000000,-549.8468017578125
10,1.0,4000,744,00.814000000000000,-524.6758422851562
10,1.0,4000,748,00.813000000000000,-519.1404418945312
10,1.0,4000,753,00.811750000000000,-511.04486083984375
10,1.0,4000,757,00.810750000000000,-517.3618774414062
10,1.0,4000,766,00.808500000000000,-520.4292602539062
10,1.0,4000,770,00.807500000000000,-530.31640625
10,1.0,4000,772,00.807000000000000,-540.1001586914062
10,1.0,4000,774,00.806500000000000,-539.2992553710938
10,1.0,4000,781,00.804750000000000,-535.8050537109375
10,1.0,4000,786,00.803500000000000,-542.0413818359375
10,1.0,4000,788,00.803000000000000,-543.4239501953125
10,1.0,4000,793,00.801750000000000,-545.7276611328125
10,1.0,4000,795,00.801250000000000,-549.058349609375
10,1.0,4000,799,00.800250000000000,-552.943115234375
10,1.0,4000,803,00.799250000000000,-563.7769775390625
10,1.0,4000,809,00.797750000000000,-556.295654296875
10,1.0,4000,810,00.797500000000000,-556.0121459960938
10,1.0,4000,833,00.791750000000000,-556.40283203125
