omega,beta0,E,episode,beta,average R^T
1,0,4000,6,0,-9020.34375
1,0,4000,19,0,-8921.84765625
1,0,4000,25,0,-8633.498046875
1,0,4000,41,0,-8590.7470703125
1,0,4000,43,0,-8641.6484375
1,0,4000,46,0,-8715.2705078125
1,0,4000,54,0,-8697.271484375
1,0,4000,57,0,-8633.259765625
1,0,4000,72,0,-8755.064453125
1,0,4000,75,0,-8756.9375
1,0,4000,95,0,-8411.40234375
1,0,4000,103,0,-8389.181640625
1,0,4000,107,0,-8415.015625
1,0,4000,127,0,-8324.97265625
1,0,4000,140,0,-8254.7890625
1,0,4000,156,0,-8190.65478515625
1,0,4000,159,0,-8168.724609375
1,0,4000,168,0,-8110.8076171875
1,0,4000,179,0,-8103.06005859375
1,0,4000,184,0,-8209.099609375
1,0,4000,186,0,-8209.1142578125
1,0,4000,187,0,-8205.12890625
1,0,4000,191,0,-8220.9921875
1,0,4000,208,0,-8247.025390625
1,0,4000,230,0,-8268.7431640625
1,0,4000,235,0,-8314.8369140625
1,0,4000,250,0,-8171.10888671875
1,0,4000,256,0,-8195.25390625
1,0,4000,261,0,-8177.25732421875
1,0,4000,268,0,-8111.07470703125
1,0,4000,272,0,-8105.10302734375
1,0,4000,274,0,-8141.14599609375
1,0,4000,293,0,-7998.8837890625
1,0,4000,309,0,-8177.02099609375
1,0,4000,311,0,-8119.07666015625
1,0,4000,319,0,-8113.40185546875
1,0,4000,331,0,-8331.958984375
1,0,4000,340,0,-8428.220703125
1,0,4000,348,0,-8372.7919921875
1,0,4000,364,0,-8421.984375
1,0,4000,368,0,-8496.328125
1,0,4000,422,0,-8398.8876953125
1,0,4000,423,0,-8408.7744140625
1,0,4000,440,0,-8044.32177734375
1,0,4000,443,0,-8026.08740234375
1,0,4000,446,0,-7999.76318359375
1,0,4000,461,0,-7272.1904296875
1,0,4000,464,0,-7368.2548828125
1,0,4000,465,0,-7264.287109375
1,0,4000,475,0,-7186.14013671875
1,0,4000,492,0,-7085.9248046875
1,0,4000,494,0,-7085.93994140625
1,0,4000,515,0,-7452.05810546875
1,0,4000,518,0,-7462.09033203125
1,0,4000,532,0,-7611.9404296875
1,0,4000,537,0,-7730.130859375
1,0,4000,564,0,-7146.1484375
1,0,4000,574,0,-6820.109375
1,0,4000,580,0,-6670.30859375
1,0,4000,582,0,-6598.421875
1,0,4000,587,0,-6400.19775390625
1,0,4000,588,0,-6396.27490234375
1,0,4000,603,0,-5750.5390625
1,0,4000,621,0,-5856.76123046875
1,0,4000,623,0,-6020.939453125
1,0,4000,635,0,-6099.23388671875
1,0,4000,642,0,-6347.52880859375
1,0,4000,643,0,-6313.4970703125
1,0,4000,645,0,-6245.50244140625
1,0,4000,648,0,-6293.453125
1,0,4000,650,0,-6229.3505859375
1,0,4000,662,0,-6488.806640625
1,0,4000,672,0,-6135.55517578125
1,0,4000,684,0,-6291.904296875
1,0,4000,689,0,-6459.8203125
1,0,4000,715,0,-7149.18359375
1,0,4000,719,0,-7049.390625
1,0,4000,723,0,-6867.21240234375
1,0,4000,724,0,-6867.185546875
1,0,4000,731,0,-6597.07275390625
1,0,4000,740,0,-6359.119140625
1,0,4000,744,0,-5947.1103515625
1,0,4000,748,0,-5955.126953125
1,0,4000,753,0,-5561.1591796875
1,0,4000,757,0,-4988.28515625
1,0,4000,766,0,-4548.52001953125
1,0,4000,770,0,-4284.392578125
1,0,4000,772,0,-4094.5703125
1,0,4000,774,0,-3964.585205078125
1,0,4000,781,0,-3808.955078125
1,0,4000,786,0,-3597.42041015625
1,0,4000,788,0,-3646.38037109375
1,0,4000,793,0,-3606.8779296875
1,0,4000,795,0,-3529.055908203125
1,0,4000,799,0,-3127.27685546875
1,0,4000,803,0,-2887.10791015625
1,0,4000,809,0,-2843.34130859375
1,0,4000,810,0,-2729.349365234375
1,0,4000,833,0,-1474.808837890625
1,0,4000,837,0,-1098.2049560546875
1,0,4000,870,0,-423.1500244140625
1,0,4000,877,0,-363.2320251464844
1,0,4000,883,0,-295.76885986328125
1,0,4000,897,0,-214.46298217773438
1,0,4000,901,0,-220.640380859375
1,0,4000,908,0,-599.9220581054688
1,0,4000,910,0,-599.9774780273438
1,0,4000,916,0,-582.4049072265625
1,0,4000,918,0,-566.3663330078125
1,0,4000,932,0,-536.2337646484375
1,0,4000,933,0,-536.1034545898438
1,0,4000,943,0,-511.6879577636719
1,0,4000,946,0,-567.649658203125
1,0,4000,955,0,-513.3546142578125
1,0,4000,959,0,-145.57545471191406
1,0,4000,963,0,-155.332763671875
1,0,4000,972,0,-244.69842529296875
1,0,4000,973,0,-244.5965576171875
1,0,4000,979,0,-260.3542175292969
1,0,4000,980,0,-268.28607177734375
1,0,4000,985,0,-369.841064453125
1,0,4000,997,0,-429.9109191894531
1,0,4000,1003,0,-454.1629333496094
1,0,4000,1006,0,-448.21533203125
1,0,4000,1015,0,-376.8038024902344
1,0,4000,1026,0,-307.5354309082031
1,0,4000,1045,0,-174.26669311523438
1,0,4000,1058,0,-178.00086975097656
1,0,4000,1064,0,-192.33169555664062
1,0,4000,1067,0,-190.282958984375
1,0,4000,1069,0,-194.18167114257812
1,0,4000,1073,0,-196.27479553222656
1,0,4000,1079,0,-226.25607299804688
1,0,4000,1084,0,-248.76388549804688
1,0,4000,1094,0,-201.34555053710938
1,0,4000,1100,0,-175.4586639404297
1,0,4000,1105,0,-157.27584838867188
1,0,4000,1115,0,-150.35617065429688
1,0,4000,1120,0,-146.95501708984375
1,0,4000,1157,0,-226.7174072265625
1,0,4000,1161,0,-232.27503967285156
1,0,4000,1162,0,-238.17335510253906
1,0,4000,1163,0,-237.98281860351562
1,0,4000,1181,0,-227.13687133789062
1,0,4000,1193,0,-216.2190399169922
1,0,4000,1194,0,-212.14454650878906
1,0,4000,1200,0,-184.32601928710938
1,0,4000,1207,0,-150.7451629638672
1,0,4000,1233,0,-130.4043426513672
1,0,4000,1235,0,-130.36524963378906
1,0,4000,1245,0,-115.02019500732422
1,0,4000,1256,0,-107.10263061523438
1,0,4000,1259,0,-104.8611831665039
1,0,4000,1262,0,-104.94889068603516
1,0,4000,1282,0,-94.93289184570312
1,0,4000,1288,0,-99.10145568847656
1,0,4000,1295,0,-101.3121337890625
1,0,4000,1301,0,-117.47265625
1,0,4000,1311,0,-129.18849182128906
1,0,4000,1317,0,-129.43429565429688
1,0,4000,1320,0,-129.39295959472656
1,0,4000,1331,0,-120.60929107666016
1,0,4000,1334,0,-104.67504119873047
1,0,4000,1337,0,-96.65132141113281
1,0,4000,1338,0,-94.55455017089844
1,0,4000,1386,0,-69.52769470214844
1,0,4000,1389,0,-69.6278305053711
1,0,4000,1392,0,-69.88034057617188
1,0,4000,1393,0,-65.80982208251953
1,0,4000,1415,0,-68.06670379638672
1,0,4000,1427,0,-64.84656524658203
1,0,4000,1429,0,-62.86320114135742
1,0,4000,1433,0,-63.220924377441406
1,0,4000,1437,0,-63.43067932128906
1,0,4000,1441,0,-63.57964324951172
1,0,4000,1466,0,-67.46912384033203
1,0,4000,1467,0,-67.5228042602539
1,0,4000,1478,0,-70.07009887695312
1,0,4000,1486,0,-74.32353210449219
1,0,4000,1490,0,-80.11917114257812
1,0,4000,1492,0,-82.11158752441406
1,0,4000,1509,0,-82.8580551147461
1,0,4000,1524,0,-87.99227905273438
1,0,4000,1528,0,-96.51294708251953
1,0,4000,1553,0,-104.84918975830078
1,0,4000,1569,0,-122.55780029296875
1,0,4000,1570,0,-120.68746185302734
1,0,4000,1585,0,-101.97982025146484
1,0,4000,1589,0,-102.01134490966797
1,0,4000,1598,0,-98.47974395751953
1,0,4000,1605,0,-94.70145416259766
1,0,4000,1606,0,-94.70762634277344
1,0,4000,1619,0,-72.53689575195312
1,0,4000,1628,0,-68.1992416381836
1,0,4000,1633,0,-71.96224975585938
1,0,4000,1638,0,-74.12118530273438
1,0,4000,1641,0,-82.38800048828125
1,0,4000,1646,0,-82.81195068359375
1,0,4000,1649,0,-83.4049072265625
1,0,4000,1661,0,-87.37215423583984
1,0,4000,1669,0,-92.33163452148438
1,0,4000,1676,0,-91.5128402709961
1,0,4000,1683,0,-88.13068389892578
1,0,4000,1692,0,-82.29684448242188
1,0,4000,1696,0,-82.2098159790039
1,0,4000,1697,0,-82.2876205444336
1,0,4000,1698,0,-82.03455352783203
1,0,4000,1700,0,-81.72341918945312
1,0,4000,1703,0,-83.47224426269531
1,0,4000,1710,0,-83.03822326660156
1,0,4000,1719,0,-76.78998565673828
1,0,4000,1729,0,-78.09220886230469
1,0,4000,1733,0,-75.12393951416016
1,0,4000,1735,0,-75.07796478271484
1,0,4000,1738,0,-70.9555892944336
1,0,4000,1743,0,-68.26033782958984
1,0,4000,1746,0,-67.69914245605469
1,0,4000,1747,0,-67.47842407226562
1,0,4000,1748,0,-67.53355407714844
1,0,4000,1767,0,-59.16889953613281
1,0,4000,1776,0,-59.37641525268555
1,0,4000,1782,0,-67.54266357421875
1,0,4000,1789,0,-83.6438980102539
1,0,4000,1790,0,-83.59922790527344
1,0,4000,1799,0,-85.2626953125
1,0,4000,1806,0,-86.58638763427734
1,0,4000,1818,0,-103.43014526367188
1,0,4000,1827,0,-106.30754089355469
1,0,4000,1831,0,-99.42552185058594
1,0,4000,1841,0,-88.23575592041016
1,0,4000,1845,0,-85.64791107177734
1,0,4000,1854,0,-98.90441131591797
1,0,4000,1867,0,-80.66451263427734
1,0,4000,1870,0,-88.7184066772461
1,0,4000,1876,0,-90.80191040039062
1,0,4000,1878,0,-90.98625183105469
1,0,4000,1912,0,-79.79381561279297
1,0,4000,1918,0,-71.52249145507812
1,0,4000,1935,0,-68.94967651367188
1,0,4000,1937,0,-68.6950454711914
1,0,4000,1939,0,-68.52729797363281
1,0,4000,1945,0,-72.20418548583984
1,0,4000,1948,0,-72.23015594482422
1,0,4000,1950,0,-66.12667083740234
1,0,4000,1968,0,-81.51119995117188
1,0,4000,1982,0,-75.01399993896484
1,0,4000,1984,0,-74.98592376708984
1,0,4000,2002,0,-83.7334976196289
1,0,4000,2006,0,-69.87464904785156
1,0,4000,2014,0,-64.06478118896484
1,0,4000,2031,0,-104.64990997314453
1,0,4000,2037,0,-102.46891784667969
1,0,4000,2061,0,-128.46774291992188
1,0,4000,2073,0,-138.93295288085938
1,0,4000,2074,0,-133.04661560058594
1,0,4000,2077,0,-111.02837371826172
1,0,4000,2078,0,-103.07453918457031
1,0,4000,2080,0,-101.1767349243164
1,0,4000,2082,0,-101.23937225341797
1,0,4000,2086,0,-101.4776611328125
1,0,4000,2090,0,-93.66242218017578
1,0,4000,2095,0,-102.41436004638672
1,0,4000,2097,0,-102.52923583984375
1,0,4000,2112,0,-71.29071044921875
1,0,4000,2146,0,-65.7112045288086
1,0,4000,2150,0,-71.00613403320312
1,0,4000,2152,0,-68.96553039550781
