omega,beta0,E,episode,beta,average R^T
100,0,4000,6,0,-12141.697265625
100,0,4000,19,0,-12309.8974609375
100,0,4000,25,0,-11944.6103515625
100,0,4000,41,0,-11964.052734375
100,0,4000,43,0,-11891.466796875
100,0,4000,46,0,-11853.3173828125
100,0,4000,54,0,-11729.2802734375
100,0,4000,57,0,-11755.3447265625
100,0,4000,72,0,-11648.744140625
100,0,4000,75,0,-11838.3720703125
100,0,4000,95,0,-11795.4560546875
100,0,4000,103,0,-12050.9892578125
100,0,4000,107,0,-12134.6572265625
100,0,4000,127,0,-12254.12109375
100,0,4000,140,0,-12211.912109375
100,0,4000,156,0,-12104.158203125
100,0,4000,159,0,-12159.583984375
100,0,4000,168,0,-12032.6181640625
100,0,4000,179,0,-12220.13671875
100,0,4000,184,0,-12317.6591796875
100,0,4000,186,0,-12314.0576171875
100,0,4000,187,0,-12258.9765625
100,0,4000,191,0,-12226.1494140625
100,0,4000,208,0,-12351.3857421875
100,0,4000,230,0,-12629.4384765625
100,0,4000,235,0,-12567.029296875
100,0,4000,250,0,-12697.0673828125
100,0,4000,256,0,-12725.9873046875
100,0,4000,261,0,-12641.501953125
100,0,4000,268,0,-12593.2177734375
100,0,4000,272,0,-12442.6728515625
100,0,4000,274,0,-12444.015625
100,0,4000,293,0,-12455.4453125
100,0,4000,309,0,-12039.357421875
100,0,4000,311,0,-12050.6630859375
100,0,4000,319,0,-12106.365234375
100,0,4000,331,0,-11992.63671875
100,0,4000,340,0,-11756.0478515625
100,0,4000,348,0,-11745.1416015625
100,0,4000,364,0,-12233.103515625
100,0,4000,368,0,-12234.3388671875
100,0,4000,422,0,-12302.228515625
100,0,4000,423,0,-12310.44921875
100,0,4000,440,0,-12565.1484375
100,0,4000,443,0,-12640.888671875
100,0,4000,446,0,-12624.53515625
100,0,4000,461,0,-12512.2265625
100,0,4000,464,0,-12390.6171875
100,0,4000,465,0,-12404.216796875
100,0,4000,475,0,-12446.1279296875
100,0,4000,492,0,-12564.646484375
100,0,4000,494,0,-12578.0732421875
100,0,4000,515,0,-12733.3154296875
100,0,4000,518,0,-12789.341796875
100,0,4000,532,0,-12934.169921875
100,0,4000,537,0,-12904.6875
100,0,4000,564,0,-12676.3603515625
100,0,4000,574,0,-12418.2822265625
100,0,4000,580,0,-12304.732421875
100,0,4000,582,0,-12308.6845703125
100,0,4000,587,0,-12301.857421875
100,0,4000,588,0,-12295.8876953125
100,0,4000,603,0,-12170.0537109375
100,0,4000,621,0,-12281.3701171875
100,0,4000,623,0,-12299.685546875
100,0,4000,635,0,-12247.9658203125
100,0,4000,642,0,-12381.8046875
100,0,4000,643,0,-12397.2705078125
100,0,4000,645,0,-12315.423828125
100,0,4000,648,0,-12399.75390625
100,0,4000,650,0,-12440.03515625
100,0,4000,662,0,-12295.548828125
100,0,4000,672,0,-12345.5068359375
100,0,4000,684,0,-12272.5810546875
100,0,4000,689,0,-12258.9599609375
100,0,4000,715,0,-12232.5029296875
100,0,4000,719,0,-12199.2587890625
100,0,4000,723,0,-12120.2880859375
100,0,4000,724,0,-12132.15234375
100,0,4000,731,0,-11997.5859375
100,0,4000,740,0,-11969.779296875
100,0,4000,744,0,-11907.390625
100,0,4000,748,0,-12001.5078125
100,0,4000,753,0,-11997.771484375
100,0,4000,757,0,-12181.0634765625
100,0,4000,766,0,-12112.1943359375
100,0,4000,770,0,-12249.453125
100,0,4000,772,0,-12456.5478515625
100,0,4000,774,0,-12458.9775390625
100,0,4000,781,0,-12602.2978515625
100,0,4000,786,0,-12532.2978515625
100,0,4000,788,0,-12607.6943359375
100,0,4000,793,0,-12562.150390625
100,0,4000,795,0,-12567.7734375
100,0,4000,799,0,-12585.8251953125
100,0,4000,803,0,-12685.884765625
100,0,4000,809,0,-12701.91796875
100,0,4000,810,0,-12678.8798828125
100,0,4000,833,0,-12642.7919921875
100,0,4000,837,0,-12636.908203125
100,0,4000,870,0,-12708.544921875
100,0,4000,877,0,-12829.7236328125
100,0,4000,883,0,-12973.1201171875
100,0,4000,897,0,-12935.015625
100,0,4000,901,0,-13104.806640625
100,0,4000,908,0,-13086.9111328125
100,0,4000,910,0,-13133.0478515625
100,0,4000,916,0,-13096.556640625
100,0,4000,918,0,-13126.861328125
100,0,4000,932,0,-13144.845703125
100,0,4000,933,0,-13126.8720703125
100,0,4000,943,0,-13185.4052734375
100,0,4000,946,0,-13206.25
100,0,4000,955,0,-13338.9091796875
100,0,4000,959,0,-13431.6337890625
100,0,4000,963,0,-13479.490234375
100,0,4000,972,0,-13543.8291015625
100,0,4000,973,0,-13515.8662109375
100,0,4000,979,0,-13500.0810546875
100,0,4000,980,0,-13446.6748046875
100,0,4000,985,0,-13449.9580078125
100,0,4000,997,0,-13455.431640625
100,0,4000,1003,0,-13446.271484375
100,0,4000,1006,0,-13376.5556640625
100,0,4000,1015,0,-13300.568359375
100,0,4000,1026,0,-13184.078125
100,0,4000,1045,0,-13122.984375
100,0,4000,1058,0,-12987.0751953125
100,0,4000,1064,0,-12972.408203125
100,0,4000,1067,0,-12959.71484375
100,0,4000,1069,0,-13009.18359375
100,0,4000,1073,0,-13069.7197265625
100,0,4000,1079,0,-13192.0439453125
100,0,4000,1084,0,-13222.255859375
100,0,4000,1094,0,-13308.2958984375
100,0,4000,1100,0,-13508.8671875
100,0,4000,1105,0,-13601.3974609375
100,0,4000,1115,0,-13829.7705078125
100,0,4000,1120,0,-13805.5078125
100,0,4000,1157,0,-14108.2587890625
100,0,4000,1161,0,-14052.3642578125
100,0,4000,1162,0,-14057.6728515625
100,0,4000,1163,0,-14064.4296875
100,0,4000,1181,0,-14021.1533203125
100,0,4000,1193,0,-13972.796875
100,0,4000,1194,0,-13988.9375
100,0,4000,1200,0,-13913.990234375
100,0,4000,1207,0,-13933.3671875
100,0,4000,1233,0,-13876.0859375
100,0,4000,1235,0,-13917.3564453125
100,0,4000,1245,0,-13857.9677734375
100,0,4000,1256,0,-13775.421875
100,0,4000,1259,0,-13762.6396484375
100,0,4000,1262,0,-13800.9580078125
100,0,4000,1282,0,-13562.5888671875
100,0,4000,1288,0,-13453.22265625
100,0,4000,1295,0,-13439.7607421875
100,0,4000,1301,0,-13473.5419921875
100,0,4000,1311,0,-13515.447265625
100,0,4000,1317,0,-13611.1884765625
100,0,4000,1320,0,-13629.177734375
100,0,4000,1331,0,-13830.9111328125
100,0,4000,1334,0,-13882.4140625
100,0,4000,1337,0,-13919.4765625
100,0,4000,1338,0,-13950.1728515625
100,0,4000,1386,0,-14008.7060546875
100,0,4000,1389,0,-14015.720703125
100,0,4000,1392,0,-14022.8671875
100,0,4000,1393,0,-14006.3720703125
100,0,4000,1415,0,-14145.92578125
100,0,4000,1427,0,-14459.0966796875
100,0,4000,1429,0,-14488.99609375
100,0,4000,1433,0,-14573.11328125
100,0,4000,1437,0,-14554.47265625
100,0,4000,1441,0,-14529.474609375
100,0,4000,1466,0,-14327.759765625
100,0,4000,1467,0,-14306.3369140625
100,0,4000,1478,0,-14047.134765625
100,0,4000,1486,0,-13883.05078125
100,0,4000,1490,0,-13842.4345703125
100,0,4000,1492,0,-13817.3203125
100,0,4000,1509,0,-13657.59765625
100,0,4000,1524,0,-13540.2890625
100,0,4000,1528,0,-13501.490234375
100,0,4000,1553,0,-13635.3291015625
100,0,4000,1569,0,-13756.0732421875
100,0,4000,1570,0,-13822.380859375
100,0,4000,1585,0,-13876.69921875
100,0,4000,1589,0,-13979.91015625
100,0,4000,1598,0,-14138.05859375
100,0,4000,1605,0,-14247.791015625
100,0,4000,1606,0,-14277.1943359375
100,0,4000,1619,0,-14478.013671875
100,0,4000,1628,0,-14551.2158203125
100,0,4000,1633,0,-14563.373046875
100,0,4000,1638,0,-14473.0244140625
100,0,4000,1641,0,-14413.69921875
100,0,4000,1646,0,-14341.974609375
100,0,4000,1649,0,-14319.8037109375
100,0,4000,1661,0,-14260.818359375
100,0,4000,1669,0,-14334.2763671875
100,0,4000,1676,0,-14260.208984375
100,0,4000,1683,0,-14246.28125
100,0,4000,1692,0,-14324.5615234375
100,0,4000,1696,0,-14430.4501953125
100,0,4000,1697,0,-14416.361328125
100,0,4000,1698,0,-14415.1806640625
100,0,4000,1700,0,-14408.27734375
100,0,4000,1703,0,-14350.4609375
100,0,4000,1710,0,-14292.4580078125
100,0,4000,1719,0,-14174.7548828125
100,0,4000,1729,0,-14127.771484375
100,0,4000,1733,0,-14127.79296875
100,0,4000,1735,0,-14097.5849609375
100,0,4000,1738,0,-14158.5185546875
100,0,4000,1743,0,-14172.59375
100,0,4000,1746,0,-14094.552734375
100,0,4000,1747,0,-14109.658203125
100,0,4000,1748,0,-14120.814453125
100,0,4000,1767,0,-14253.2587890625
100,0,4000,1776,0,-14312.48828125
100,0,4000,1782,0,-14281.2724609375
100,0,4000,1789,0,-14250.5576171875
100,0,4000,1790,0,-14202.150390625
100,0,4000,1799,0,-14087.818359375
100,0,4000,1806,0,-13962.3271484375
100,0,4000,1818,0,-13894.5546875
100,0,4000,1827,0,-13894.1640625
100,0,4000,1831,0,-13905.16015625
100,0,4000,1841,0,-13844.1513671875
100,0,4000,1845,0,-13880.2802734375
100,0,4000,1854,0,-13977.646484375
100,0,4000,1867,0,-13816.4501953125
100,0,4000,1870,0,-13859.3271484375
100,0,4000,1876,0,-13796.2548828125
100,0,4000,1878,0,-13772.5029296875
100,0,4000,1912,0,-13595.0400390625
100,0,4000,1918,0,-13542.259765625
100,0,4000,1935,0,-13222.2900390625
100,0,4000,1937,0,-13240.822265625
100,0,4000,1939,0,-13270.568359375
100,0,4000,1945,0,-13284.4326171875
100,0,4000,1948,0,-13242.1318359375
100,0,4000,1950,0,-13228.5205078125
100,0,4000,1968,0,-13361.197265625
100,0,4000,1982,0,-13548.79296875
100,0,4000,1984,0,-13563.55859375
100,0,4000,2002,0,-13962.6484375
100,0,4000,2006,0,-14056.337890625
100,0,4000,2014,0,-14336.7841796875
100,0,4000,2031,0,-14709.064453125
100,0,4000,2037,0,-14917.3173828125
100,0,4000,2061,0,-15165.6826171875
100,0,4000,2073,0,-15043.2978515625
100,0,4000,2074,0,-15033.1953125
100,0,4000,2077,0,-15103.0029296875
100,0,4000,2078,0,-15114.2412109375
100,0,4000,2080,0,-15063.3740234375
100,0,4000,2082,0,-14959.9609375
100,0,4000,2086,0,-14838.7998046875
100,0,4000,2090,0,-14762.0654296875
100,0,4000,2095,0,-14747.90234375
100,0,4000,2097,0,-14742.1376953125
100,0,4000,2112,0,-14536.876953125
100,0,4000,2146,0,-13952.4072265625
100,0,4000,2150,0,-13907.123046875
100,0,4000,2152,0,-13871.2138671875
100,0,4000,2157,0,-13777.8916015625
100,0,4000,2166,0,-13651.44140625
100,0,4000,2174,0,-13450.46875
100,0,4000,2178,0,-13407.9189453125
100,0,4000,2188,0,-13559.7275390625
100,0,4000,2190,0,-13495.3134765625
100,0,4000,2192,0,-13550.8486328125
100,0,4000,2193,0,-13548.93359375
100,0,4000,2197,0,-13517.26171875
100,0,4000,2200,0,-13459.083984375
100,0,4000,2208,0,-13516.6416015625
100,0,4000,2212,0,-13547.3173828125
100,0,4000,2226,0,-13742.623046875
100,0,4000,2232,0,-13818.0400390625
100,0,4000,2237,0,-13856.064453125
100,0,4000,2238,0,-13827.0869140625
100,0,4000,2240,0,-13776.9521484375
100,0,4000,2243,0,-13788.984375
100,0,4000,2245,0,-13769.4384765625
100,0,4000,2247,0,-13789.7939453125
100,0,4000,2248,0,-13819.0302734375
100,0,4000,2255,0,-13653.078125
100,0,4000,2258,0,-13644.2099609375
100,0,4000,2263,0,-13610.955078125
100,0,4000,2282,0,-13324.6328125
100,0,4000,2292,0,-13158.4951171875
100,0,4000,2298,0,-13065.259765625
100,0,4000,2304,0,-13207.8505859375
100,0,4000,2308,0,-13188.14453125
100,0,4000,2309,0,-13209.01953125
100,0,4000,2320,0,-13389.1220703125
100,0,4000,2321,0,-13435.013671875
100,0,4000,2336,0,-13683.083984375
100,0,4000,2346,0,-14121.59375
100,0,4000,2355,0,-14449.7373046875
100,0,4000,2372,0,-14541.59375
100,0,4000,2390,0,-14516.634765625
100,0,4000,2391,0,-14503.4130859375
100,0,4000,2393,0,-14453.236328125
100,0,4000,2403,0,-14323.279296875
100,0,4000,2407,0,-14311.73046875
100,0,4000,2426,0,-14282.205078125
100,0,4000,2437,0,-14415.9013671875
100,0,4000,2445,0,-14433.025390625
100,0,4000,2451,0,-14451.115234375
100,0,4000,2452,0,-14450.8173828125
100,0,4000,2454,0,-14457.8955078125
100,0,4000,2456,0,-14484.2939453125
100,0,4000,2461,0,-14508.6796875
100,0,4000,2486,0,-14587.6572265625
100,0,4000,2487,0,-14587.083984375
100,0,4000,2497,0,-14645.5830078125
100,0,4000,2499,0,-14693.8505859375
100,0,4000,2504,0,-14753.73046875
100,0,4000,2518,0,-14686.4970703125
100,0,4000,2524,0,-14677.212890625
100,0,4000,2531,0,-14532.7431640625
100,0,4000,2533,0,-14511.3330078125
100,0,4000,2548,0,-14336.65234375
100,0,4000,2552,0,-14246.5966796875
100,0,4000,2554,0,-14251.8134765625
100,0,4000,2567,0,-14100.478515625
100,0,4000,2579,0,-13766.513671875
100,0,4000,2591,0,-13641.90625
100,0,4000,2592,0,-13622.220703125
100,0,4000,2593,0,-13616.4599609375
100,0,4000,2601,0,-13499.5390625
100,0,4000,2607,0,-13390.576171875
100,0,4000,2624,0,-13679.6884765625
100,0,4000,2630,0,-13699.7900390625
100,0,4000,2631,0,-13691.9931640625
100,0,4000,2639,0,-13741.88671875
100,0,4000,2645,0,-13792.5078125
100,0,4000,2651,0,-13676.3466796875
100,0,4000,2656,0,-13673.5166015625
100,0,4000,2679,0,-13630.6640625
100,0,4000,2681,0,-13691.34375
100,0,4000,2686,0,-13648.6279296875
100,0,4000,2691,0,-13495.126953125
100,0,4000,2704,0,-13802.4638671875
100,0,4000,2711,0,-13958.0244140625
100,0,4000,2726,0,-13865.2958984375
100,0,4000,2738,0,-14053.90234375
