time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps,train/entropy_loss,train/explained_variance,train/std,train/n_updates,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_loss,train/value_loss
48,495,0.0007,24000,-4.290443420410156,0.0,1.013406753540039,4799,4800,-30952.162053230004,100.0,-3268.41796875,711936.1875
49,495,0.0007,24500,-4.28322696685791,0.0,1.0109920501708984,4899,4900,-30889.430504900003,100.0,-2951.374755859375,608457.4375
50,495,0.0007,25000,-4.290684700012207,0.0,1.013484001159668,4999,5000,-30907.90392001001,100.0,-3730.39306640625,796358.875
51,495,0.0007,25500,-4.282898902893066,0.0,1.0105416774749756,5099,5100,-30967.54879779,100.0,-3724.899169921875,744188.5
52,495,0.0007,26000,-4.293678283691406,1.7881393432617188e-07,1.0148653984069824,5199,5200,-30965.68619595,100.0,-3146.033935546875,780179.0625
53,495,0.0007,26500,-4.2890610694885245,0.0,1.0130916833877563,5299,5300,-30961.8979002,100.0,-3260.771240234375,680328.5625
54,495,0.0007,27000,-4.312575817108153,1.7881393432617188e-07,1.0216040611267092,5399,5400,-30925.220009609995,100.0,-2572.21533203125,552889.0625
55,495,0.0007,27500,-4.3317179679870605,5.960464477539063e-08,1.0279067754745483,5499,5500,-30883.922665850005,100.0,-2510.293701171875,489707.0
56,495,0.0007,28000,-4.325532913208009,1.1920928955078125e-07,1.0251022577285769,5599,5600,-30816.18388535001,100.0,-3911.822998046875,892584.9375
57,495,0.0007,28500,-4.3219079971313485,0.0,1.023890733718872,5699,5700,-30703.35251477,100.0,-3198.447021484375,727027.375
58,495,0.0007,29000,-4.307603836059569,5.960464477539063e-08,1.0186800956726074,5799,5800,-30559.31232019,100.0,-2725.111328125,571369.125
59,495,0.0007,29500,-4.326644420623778,0.0,1.025243639945984,5899,5900,-30479.076628510004,100.0,-3270.20361328125,917182.625
60,495,0.0007,30000,-4.325357437133788,1.1920928955078125e-07,1.0243451595306396,5999,6000,-30473.701536510005,100.0,-4303.45654296875,990839.0
61,495,0.0007,30500,-4.3385982513427725,0.0,1.0291613340377808,6099,6100,-30374.72678472,100.0,-3092.60107421875,692029.375
62,495,0.0007,31000,-4.324872016906738,-1.1920928955078125e-07,1.0241103172302246,6199,6200,-30251.55459138,100.0,-3842.200439453125,840118.4375
63,495,0.0007,31500,-4.305197238922118,1.1920928955078125e-07,1.0172600746154783,6299,6300,-30139.512454360003,100.0,-3950.544677734375,846627.625
64,495,0.0007,32000,-4.305465221405028,0.0,1.0175589323043823,6399,6400,-29984.21406125001,100.0,-3465.673583984375,706357.25
65,495,0.0007,32500,-4.3134098052978525,0.0,1.0201487541198728,6499,6500,-29845.396217810005,100.0,-4105.54638671875,882318.625
66,495,0.0007,33000,-4.3344812393188485,-1.1920928955078125e-07,1.0284733772277832,6599,6600,-29751.16074019,100.0,-2326.963134765625,565619.9375
67,495,0.0007,33500,-4.352508068084717,0.0,1.034337043762207,6699,6700,-29584.67207079,100.0,-2579.552490234375,581918.3125
68,495,0.0007,34000,-4.3600616455078125,2.384185791015625e-07,1.0365090370178225,6799,6800,-29461.56780169,100.0,-3504.993896484375,793514.125
69,495,0.0007,34500,-4.347597122192384,0.0,1.0326545238494873,6899,6900,-29323.35605757,100.0,-2354.780029296875,488651.71875
70,495,0.0007,35000,-4.344184875488281,-1.1920928955078125e-07,1.031408667564392,6999,7000,-29205.147697730004,100.0,-3033.64990234375,691448.3125
71,496,0.0007,35500,-4.344635963439941,0.0,1.0309041738510132,7099,7100,-29024.111012380006,100.0,-3262.91357421875,492172.5
72,496,0.0007,36000,-4.3273634910583505,0.0,1.0257518291473389,7199,7200,-28808.858447299997,100.0,-2184.212158203125,411418.96875
73,496,0.0007,36500,-4.313891887664795,0.0,1.0203136205673218,7299,7300,-28669.322402869995,100.0,-4724.60009765625,1117811.375
74,496,0.0007,37000,-4.287921905517578,0.0,1.0122108459472656,7399,7400,-28721.002127439995,100.0,-3481.516845703125,842937.1875
75,496,0.0007,37500,-4.275664806365967,0.0,1.0084813833236694,7499,7500,-28773.87214114,100.0,-2691.024169921875,525254.125
76,496,0.0007,38000,-4.295768737792969,0.0,1.0154099464416504,7599,7600,-28809.89429021,100.0,-4502.09375,1200983.5
77,496,0.0007,38500,-4.305945873260498,1.7881393432617188e-07,1.0193822383880615,7699,7700,-28958.554724520003,100.0,-2332.49609375,576864.75
78,496,0.0007,39000,-4.312602996826172,0.0,1.0223238468170166,7799,7800,-29139.74419555,100.0,-2702.010986328125,779548.9375
79,496,0.0007,39500,-4.301973819732666,2.384185791015625e-07,1.018138408660889,7899,7900,-29307.70238313,100.0,-3326.630615234375,856763.9375
80,496,0.0007,40000,-4.288959503173828,-1.1920928955078125e-07,1.013714075088501,7999,8000,-29427.328838149995,100.0,-3247.848388671875,669231.375
81,496,0.0007,40500,-4.32274341583252,-1.1920928955078125e-07,1.0257667303085327,8099,8100,-29550.61811669001,100.0,-3428.60791015625,978179.8125
82,496,0.0007,41000,-4.3581156730651855,1.1920928955078125e-07,1.0370104312896729,8199,8200,-29663.06704406,100.0,-2793.616943359375,586696.8125
83,497,0.0007,41500,-4.371072292327882,-1.1920928955078125e-07,1.0410001277923584,8299,8300,-29736.58040666,100.0,-3665.651611328125,754075.1875
84,497,0.0007,42000,-4.373127937316895,0.0,1.0419877767562866,8399,8400,-29846.96467156,100.0,-3123.356689453125,723526.1875
85,497,0.0007,42500,-4.37001371383667,1.7881393432617188e-07,1.0404419898986816,8499,8500,-30028.49225679,100.0,-2840.430419921875,503971.25
86,497,0.0007,43000,-4.375444889068604,1.1920928955078125e-07,1.0419491529464722,8599,8600,-30162.95764328001,100.0,-4264.89990234375,1138730.0
87,497,0.0007,43500,-4.399816036224365,-1.1920928955078125e-07,1.0500962734222412,8699,8700,-30347.34840999,100.0,-4609.18115234375,1165640.5
88,497,0.0007,44000,-4.397041320800781,1.7881393432617188e-07,1.0502190589904783,8799,8800,-30531.345138199995,100.0,-3168.485107421875,773321.6875
89,497,0.0007,44500,-4.391143321990967,0.0,1.0481623411178589,8899,8900,-30791.68517464,100.0,-3085.789794921875,610670.9375
90,497,0.0007,45000,-4.3805904388427725,1.1920928955078125e-07,1.0446597337722778,8999,9000,-30983.70683535,100.0,-3739.17041015625,1073365.875
91,497,0.0007,45500,-4.379895210266113,-1.1920928955078125e-07,1.0447256565093994,9099,9100,-31246.75275459,100.0,-2722.130615234375,531298.6875
92,497,0.0007,46000,-4.380029201507568,-1.1920928955078125e-07,1.044779896736145,9199,9200,-31478.60559023,100.0,-3477.13134765625,879167.8125
93,497,0.0007,46500,-4.375453472137451,0.0,1.0420336723327637,9299,9300,-31711.70453093,100.0,-4360.5947265625,916621.625
94,497,0.0007,47000,-4.373186111450194,-1.1920928955078125e-07,1.0415562391281128,9399,9400,-31714.310981679995,100.0,-2482.202880859375,490522.5
95,497,0.0007,47500,-4.359283447265625,0.0,1.0367120504379272,9499,9500,-31728.31120663,100.0,-3625.653076171875,884150.125
96,498,0.0007,48000,-4.372217655181885,1.1920928955078125e-07,1.0410027503967283,9599,9600,-31750.10739084,100.0,-2238.75439453125,355457.25
97,498,0.0007,48500,-4.375789165496826,1.1920928955078125e-07,1.0411691665649414,9699,9700,-31647.18640097,100.0,-6370.34912109375,1399523.375
98,498,0.0007,49000,-4.367955207824707,0.0,1.0403103828430176,9799,9800,-31558.42116179,100.0,-2260.950927734375,401554.5
99,498,0.0007,49500,-4.33739185333252,0.0,1.0302046537399292,9899,9900,-31425.05726133,100.0,-4233.02587890625,959475.4375
100,498,0.0007,50000,-4.351655006408691,0.0,1.0350462198257446,9999,10000,-31309.51331106,100.0,-3172.2978515625,552900.0
101,498,0.0007,50500,-4.362380504608153,1.1920928955078125e-07,1.0395145416259766,10099,10100,-31235.852553010005,100.0,-4126.72412109375,985078.0
102,498,0.0007,51000,-4.3591322898864755,-1.1920928955078125e-07,1.0388323068618774,10199,10200,-31137.28298823,100.0,-2627.748779296875,476561.46875
103,498,0.0007,51500,-4.374417304992677,0.0,1.044891119003296,10299,10300,-31006.298607960005,100.0,-3049.78515625,840677.0
104,498,0.0007,52000,-4.360469341278076,-1.1920928955078125e-07,1.0399694442749023,10399,10400,-30951.503678940004,100.0,-2687.158935546875,564073.6875
105,498,0.0007,52500,-4.348386764526366,0.0,1.0358426570892334,10499,10500,-30860.3856679,100.0,-2826.775146484375,566855.625
106,498,0.0007,53000,-4.353292942047118,5.960464477539063e-08,1.0363684892654421,10599,10600,-30840.379702600007,100.0,-3487.597412109375,520975.8125
107,498,0.0007,53500,-4.333958625793457,0.0,1.0309865474700928,10699,10700,-30750.99718909,100.0,-2586.85205078125,543928.5625
108,498,0.0007,54000,-4.340088844299316,0.0,1.03332257270813,10799,10800,-30598.94165228,100.0,-2298.09326171875,512240.59375
109,498,0.0007,54500,-4.337236404418944,0.0,1.031607985496521,10899,10900,-30507.6594612,100.0,-3293.607177734375,979264.6875
110,498,0.0007,55000,-4.329542160034181,2.384185791015625e-07,1.0286285877227783,10999,11000,-30495.41349038,100.0,-3212.638916015625,792032.6875
111,498,0.0007,55500,-4.314646244049071,0.0,1.0231292247772217,11099,11100,-30420.123427100007,100.0,-3707.790283203125,878944.625
112,498,0.0007,56000,-4.320075988769531,1.1920928955078125e-07,1.0249686241149902,11199,11200,-30421.045350290005,100.0,-3667.54931640625,684048.5625
113,498,0.0007,56500,-4.3170814514160165,0.0,1.0238959789276123,11299,11300,-30356.975793080004,100.0,-4379.91455078125,873362.1875
114,498,0.0007,57000,-4.329133987426759,1.1920928955078125e-07,1.027867078781128,11399,11400,-30283.73851993,100.0,-2918.010498046875,561178.6875
115,498,0.0007,57500,-4.32784366607666,0.0,1.0273518562316897,11499,11500,-30150.11611176001,100.0,-2600.869140625,513223.5625
116,498,0.0007,58000,-4.331489562988281,-1.1920928955078125e-07,1.0288474559783936,11599,11600,-30076.59108469,100.0,-2698.048828125,619173.0625
117,498,0.0007,58500,-4.3242740631103525,1.7881393432617188e-07,1.0272212028503418,11699,11700,-30013.26268162,100.0,-2114.76953125,503315.5
118,498,0.0007,59000,-4.321063995361328,0.0,1.02517831325531,11799,11800,-29952.02124333,100.0,-4220.88427734375,764043.75
119,498,0.0007,59500,-4.3036088943481445,-1.1920928955078125e-07,1.0196127891540527,11899,11900,-29979.01528776,100.0,-2924.626220703125,633846.8125
120,498,0.0007,60000,-4.299637794494629,0.0,1.0181058645248413,11999,12000,-29973.39622771,100.0,-2767.490966796875,628175.5
121,498,0.0007,60500,-4.300508499145509,2.384185791015625e-07,1.0177814960479736,12099,12100,-30010.763236740004,100.0,-3930.196044921875,840869.5
122,498,0.0007,61000,-4.311005592346191,0.0,1.0216299295425415,12199,12200,-30065.775044769995,100.0,-3648.5859375,591066.9375
123,498,0.0007,61500,-4.276181221008302,1.7881393432617188e-07,1.0101773738861084,12299,12300,-30205.976658399995,100.0,-4232.42041015625,997134.0
124,498,0.0007,62000,-4.277717113494873,1.7881393432617188e-07,1.0104449987411501,12399,12400,-30168.93749152001,100.0,-3537.913818359375,641386.5
125,498,0.0007,62500,-4.272070407867432,-1.1920928955078125e-07,1.0081887245178225,12499,12500,-30179.657596520006,100.0,-4490.08935546875,884889.9375
126,499,0.0007,63000,-4.2663283348083505,-1.1920928955078125e-07,1.006651759147644,12599,12600,-30156.75958934,100.0,-4128.48583984375,960807.625
127,499,0.0007,63500,-4.2578630447387695,0.0,1.00433087348938,12699,12700,-30222.838969510005,100.0,-3168.34423828125,825135.5
128,499,0.0007,64000,-4.2579360008239755,0.0,1.0038655996322632,12799,12800,-30364.385212630004,100.0,-3282.776611328125,826949.4375
129,499,0.0007,64500,-4.259691238403319,0.0,1.0047379732131958,12899,12900,-30456.5636824,100.0,-3444.54345703125,796477.1875
130,499,0.0007,65000,-4.2382402420043945,0.0,0.9979175329208374,12999,13000,-30457.63652865,100.0,-4191.37646484375,725611.8125
131,499,0.0007,65500,-4.228975296020509,-1.1920928955078125e-07,0.9954050779342652,13099,13100,-30521.06887567,100.0,-3181.671142578125,693817.6875
132,499,0.0007,66000,-4.212695598602295,-2.384185791015625e-07,0.9896256327629088,13199,13200,-30552.74385438999,100.0,-4640.40380859375,984272.625
133,499,0.0007,66500,-4.210662364959717,-1.1920928955078125e-07,0.9901447296142578,13299,13300,-30601.30291295,100.0,-3528.216552734375,920117.8125
134,499,0.0007,67000,-4.22658109664917,0.0,0.9957932233810424,13399,13400,-30615.66633156,100.0,-3376.37744140625,762981.4375
135,499,0.0007,67500,-4.228865146636963,-1.1920928955078125e-07,0.9964942932128906,13499,13500,-30684.772498670005,100.0,-3805.571044921875,697099.625
136,499,0.0007,68000,-4.207080364227295,1.1920928955078125e-07,0.9901533126831056,13599,13600,-30747.08527792001,100.0,-3649.991455078125,751497.8125
137,499,0.0007,68500,-4.198932647705078,-1.1920928955078125e-07,0.9866825938224792,13699,13700,-30792.36933586,100.0,-3954.614501953125,971158.125
