train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed
158.27774452209474,2958.411095581055,-12395.80262375,200,400,200,4,100.0,0.001,1
499.9798037719727,26984.77849853516,-12467.690427875,600,800,170,8,100.0,0.001,4
614.0882110595702,21032.692195434567,-12428.983600166668,1000,1200,163,12,100.0,0.001,7
639.6895123291016,21198.12556091309,-12409.27033475,1400,1600,159,16,100.0,0.001,10
771.5243139648437,22663.59411315918,-12474.64804375,1800,2000,157,20,100.0,0.001,12
609.1517126464844,17688.384482421876,-12541.88767025,2200,2400,156,24,100.0,0.001,15
583.3081408691406,14451.430596313476,-12617.85554510714,2600,2800,155,28,100.0,0.001,17
618.1258227539063,9146.605118408204,-12505.0280263125,3000,3200,155,32,100.0,0.001,20
675.7369995117188,10572.623729248047,-12388.471262361109,3400,3600,154,36,100.0,0.001,23
765.5576928710938,7836.0783297729495,-12280.99793025,3800,4000,154,40,100.0,0.001,25
834.8537347412109,8928.410417175293,-12300.764914045454,4200,4400,154,44,100.0,0.001,28
895.925170288086,8545.075336151123,-12325.370542458333,4600,4800,154,48,100.0,0.001,31
962.9378344726564,9855.840610656738,-12367.039441942306,5000,5200,153,52,100.0,0.001,33
1041.1525469970702,11275.401762695312,-12417.839780875,5400,5600,153,56,100.0,0.001,36
1107.5360595703123,12550.997634887695,-12452.932891033333,5800,6000,153,60,100.0,0.001,39
1162.03341796875,13003.96365020752,-12481.9294813125,6200,6400,153,64,100.0,0.001,41
1212.8308337402345,12305.527160339356,-12488.676838779409,6600,6800,152,68,100.0,0.001,44
1266.4061596679687,15726.227641906738,-12503.664050444444,7000,7200,152,72,100.0,0.001,47
1315.175555419922,14278.197980041505,-12540.488290171052,7400,7600,152,76,100.0,0.001,49
1362.776397705078,14598.63413146973,-12572.710221875,7800,8000,152,80,100.0,0.001,52
1425.2727880859375,18642.260130004885,-12588.282730023808,8200,8400,152,84,100.0,0.001,55
1483.2163208007812,18951.392647399898,-12591.015002352273,8600,8800,152,88,100.0,0.001,57
1527.2485107421876,20473.1411618042,-12579.585163532607,9000,9200,152,92,100.0,0.001,60
1587.979249267578,20781.609965820317,-12554.926542677082,9400,9600,152,96,100.0,0.001,62
1628.1041162109375,27207.913838500976,-12522.640277199998,9800,10000,152,100,100.0,0.001,65
1659.1014294433594,32102.207442016603,-12517.375588220002,10200,10400,152,104,100.0,0.001,68
1716.4938732910157,25078.37704803467,-12491.628397840002,10600,10800,152,108,100.0,0.001,70
1755.3580786132816,30428.473923339843,-12497.393598690005,11000,11200,152,112,100.0,0.001,73
1815.0886437988281,35737.657645874024,-12502.06764563,11400,11600,152,116,100.0,0.001,76
1859.0583044433595,30098.52833557129,-12458.130511200001,11800,12000,152,120,100.0,0.001,78
1882.4023193359376,32437.9882989502,-12397.962111239998,12200,12400,152,124,100.0,0.001,81
1897.2531237792969,40496.26372680664,-12310.51759455,12600,12800,151,128,100.0,0.001,84
1914.581973876953,32160.301376953124,-12275.70010519,13000,13200,151,132,100.0,0.001,86
1927.442724609375,39411.552755737306,-12249.66689468,13400,13600,151,136,100.0,0.001,89
1945.9425378417968,37239.014862060554,-12229.032104050002,13800,14000,151,140,100.0,0.001,92
1970.3562829589844,35961.44261352539,-12156.50258718,14200,14400,151,144,100.0,0.001,94
2004.6250048828124,39147.78416442871,-12088.183899930005,14600,14800,151,148,100.0,0.001,97
2053.1802026367186,41513.29953918457,-11996.41237244,15000,15200,151,152,100.0,0.001,100
2107.582169189453,47586.443508911136,-11903.712545740002,15400,15600,151,156,100.0,0.001,102
2186.3791235351564,36837.90211242676,-11808.744604709998,15800,16000,151,160,100.0,0.001,105
2230.861477050781,42136.4624407959,-11716.606120379998,16200,16400,151,164,100.0,0.001,108
2281.877978515625,47816.46704040528,-11645.01115067,16600,16800,151,168,100.0,0.001,110
2320.474926757813,56515.75106872559,-11618.889879580005,17000,17200,151,172,100.0,0.001,113
2377.209448242188,43297.82830566407,-11545.323473959998,17400,17600,151,176,100.0,0.001,116
2414.262036132813,56326.39461242676,-11474.28054842,17800,18000,151,180,100.0,0.001,118
2462.699919433593,43318.88477844239,-11403.521536610004,18200,18400,151,184,100.0,0.001,121
2519.0549340820307,65227.37452331543,-11361.95762921,18600,18800,151,188,100.0,0.001,123
2578.8923364257807,67611.37047302246,-11337.340356760002,19000,19200,151,192,100.0,0.001,126
