train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
0.006027162075042725,-4.294764995574951,1.0133533477783203,-1556.7078857421875,6500,16,1300,0.0007,1299,-11733.541425446154,158750.8125,100.0,389
0.00033527612686157227,-4.299508571624757,1.014731764793396,-1720.8492431640625,7000,17,1400,0.0007,1399,-11749.78161844286,146534.796875,100.0,390
2.1278858184814453e-05,-4.3111915588378915,1.018421649932861,-1938.4390869140625,7500,19,1500,0.0007,1499,-11765.97400872,156346.078125,100.0,391
-1.7881393432617188e-06,-4.331131935119629,1.0261136293411257,-1236.392822265625,8000,20,1600,0.0007,1599,-11752.461681824998,132714.515625,100.0,392
5.900859832763673e-06,-4.335832118988037,1.027019500732422,-1820.6112060546875,8500,21,1700,0.0007,1699,-11754.586419894116,148087.484375,100.0,392
-2.1457672119140625e-06,-4.329509735107422,1.025787115097046,-1228.042236328125,9000,22,1800,0.0007,1799,-11768.077405133332,131752.6875,100.0,393
2.384185791015625e-07,-4.332343578338623,1.0261958837509155,-1477.318603515625,9500,24,1900,0.0007,1899,-11780.795250526317,140954.0,100.0,393
-4.0531158447265625e-06,-4.3346848487853995,1.0274417400360107,-1336.0745849609375,10000,25,2000,0.0007,1999,-11793.28052221,152114.171875,100.0,394
1.1920928955078125e-07,-4.347730636596681,1.0316987037658691,-1393.859375,10500,26,2100,0.0007,2099,-11787.8370604,138961.359375,100.0,394
3.5762786865234364e-07,-4.347513675689696,1.0309655666351318,-1707.410400390625,11000,27,2200,0.0007,2199,-11798.636301860002,141796.0,100.0,395
-2.384185791015625e-07,-4.353734016418457,1.033015251159668,-1993.107421875,11500,29,2300,0.0007,2299,-11793.56975584,147292.578125,100.0,395
5.960464477539063e-08,-4.3684611320495605,1.0387964248657229,-1434.3795166015625,12000,30,2400,0.0007,2399,-11819.799562989998,132316.5625,100.0,396
0.0,-4.378795623779297,1.0421669483184814,-1605.7237548828125,12500,31,2500,0.0007,2499,-11865.22084201,152842.875,100.0,396
0.0,-4.394758701324463,1.0476993322372437,-1636.6285400390625,13000,32,2600,0.0007,2599,-11880.415754570002,153564.484375,100.0,396
0.0,-4.4042396545410165,1.051365852355957,-1458.6875,13500,34,2700,0.0007,2699,-11868.5105471,143177.109375,100.0,396
5.960464477539063e-08,-4.426980495452881,1.0591809749603271,-1579.278076171875,14000,35,2800,0.0007,2799,-11899.343352340002,154469.171875,100.0,397
1.7881393432617188e-07,-4.4639201164245605,1.0725409984588623,-1592.459716796875,14500,36,2900,0.0007,2899,-11917.25314627,150184.046875,100.0,397
0.0,-4.4512553215026855,1.0687273740768433,-1400.8775634765625,15000,37,3000,0.0007,2999,-11923.76956263,162157.296875,100.0,397
2.9802322387695307e-07,-4.461030960083008,1.071213960647583,-2221.437744140625,15500,38,3100,0.0007,3099,-11946.630463870002,155437.734375,100.0,397
0.0,-4.447320461273193,1.0674161911010742,-1542.1732177734375,16000,40,3200,0.0007,3199,-11975.26693085,159889.265625,100.0,397
0.0,-4.4489359855651855,1.0676740407943726,-1464.888671875,16500,41,3300,0.0007,3299,-11994.67871749,153386.65625,100.0,397
0.0,-4.448192119598389,1.067042112350464,-1493.2674560546875,17000,42,3400,0.0007,3399,-12016.099095389998,154811.984375,100.0,398
-1.1920928955078125e-07,-4.490304946899414,1.081610083580017,-1754.547119140625,17500,43,3500,0.0007,3499,-12036.28910241,162881.171875,100.0,398
1.1920928955078125e-07,-4.507740020751953,1.0879757404327393,-1660.9979248046875,18000,45,3600,0.0007,3599,-12087.5286686,141419.859375,100.0,398
-1.1920928955078125e-07,-4.523789882659912,1.0940910577774048,-1668.1009521484375,18500,46,3700,0.0007,3699,-12111.57006676,152581.15625,100.0,398
1.1920928955078125e-07,-4.544472694396973,1.1027469635009766,-1293.395751953125,19000,47,3800,0.0007,3799,-12137.90561835,158400.921875,100.0,398
-1.1920928955078125e-07,-4.558244705200195,1.1076879501342771,-1689.7783203125,19500,48,3900,0.0007,3899,-12167.21528684,164367.171875,100.0,398
5.960464477539063e-08,-4.557278633117676,1.1071285009384155,-1827.771484375,20000,50,4000,0.0007,3999,-12192.46572723,159543.734375,100.0,398
0.0,-4.571600437164307,1.113599181175232,-1233.9801025390625,20500,51,4100,0.0007,4099,-12220.99609182,124442.3671875,100.0,398
0.0,-4.568950176239014,1.111195683479309,-1792.193603515625,21000,52,4200,0.0007,4199,-12247.288943530002,148495.828125,100.0,399
0.0,-4.554341793060303,1.1063706874847412,-1516.6959228515625,21500,53,4300,0.0007,4299,-12298.79291219,153582.421875,100.0,399
0.0,-4.5591020584106445,1.1078729629516602,-1608.8646240234375,22000,55,4400,0.0007,4399,-12312.838036559995,146390.484375,100.0,399
1.1920928955078125e-07,-4.572953701019287,1.112967014312744,-1677.9803466796875,22500,56,4500,0.0007,4499,-12324.95955253,148862.84375,100.0,399
-1.1920928955078125e-07,-4.5564165115356445,1.1070642471313477,-1517.3038330078125,23000,57,4600,0.0007,4599,-12361.00347708,147924.078125,100.0,399
1.1920928955078125e-07,-4.579445838928223,1.1161277294158936,-1467.9110107421875,23500,58,4700,0.0007,4699,-12416.87110782,156685.453125,100.0,399
5.960464477539063e-08,-4.628142833709717,1.1338505744934082,-1826.6239013671875,24000,60,4800,0.0007,4799,-12434.557897889998,153986.421875,100.0,399
0.0,-4.63662052154541,1.1375579833984375,-1484.5345458984375,24500,61,4900,0.0007,4899,-12416.704941949998,153116.25,100.0,399
0.0,-4.661924839019775,1.1472184658050537,-1473.2171630859375,25000,62,5000,0.0007,4999,-12412.83533323,153557.328125,100.0,399
0.0,-4.660613536834717,1.1464810371398926,-1714.6541748046875,25500,63,5100,0.0007,5099,-12407.038574079996,150123.734375,100.0,399
1.1920928955078125e-07,-4.658416748046875,1.1446030139923096,-2169.896240234375,26000,65,5200,0.0007,5199,-12400.958279539995,144097.765625,100.0,399
-1.1920928955078125e-07,-4.661731719970703,1.1477365493774414,-1405.6522216796875,26500,66,5300,0.0007,5299,-12399.999695219994,138356.171875,100.0,399
0.0,-4.66161060333252,1.1468613147735596,-1859.100830078125,27000,67,5400,0.0007,5399,-12392.71896425,151981.65625,100.0,399
-1.1920928955078125e-07,-4.663269996643066,1.1481595039367676,-1383.4681396484375,27500,68,5500,0.0007,5499,-12384.67102244,145913.328125,100.0,399
-1.1920928955078125e-07,-4.665814399719238,1.1486961841583252,-1531.447998046875,28000,70,5600,0.0007,5599,-12377.67323641,139629.890625,100.0,399
5.960464477539063e-08,-4.6718482971191415,1.1519854068756104,-1556.9615478515625,28500,71,5700,0.0007,5699,-12386.22159505,152733.46875,100.0,399
0.0,-4.692995548248291,1.1592917442321775,-1693.751220703125,29000,72,5800,0.0007,5799,-12385.32501046,139623.796875,100.0,399
0.0,-4.7046236991882315,1.1639516353607178,-1459.8380126953125,29500,73,5900,0.0007,5899,-12371.085061859994,147737.53125,100.0,399
0.0,-4.699195861816406,1.1618289947509766,-1475.048095703125,30000,74,6000,0.0007,5999,-12364.44350834,139147.546875,100.0,400
-1.1920928955078125e-07,-4.694379806518555,1.1595906019210815,-1743.2982177734375,30500,76,6100,0.0007,6099,-12373.25950116,148706.921875,100.0,400
-1.1920928955078125e-07,-4.701566696166992,1.1623624563217163,-1810.7486572265625,31000,77,6200,0.0007,6199,-12390.164563559994,149295.15625,100.0,400
1.7881393432617188e-07,-4.697028636932373,1.1610701084136963,-1526.2845458984375,31500,78,6300,0.0007,6299,-12398.195289330002,154709.265625,100.0,400
0.0,-4.713868618011475,1.1670736074447632,-1581.5474853515625,32000,79,6400,0.0007,6399,-12413.919037,139044.578125,100.0,400
-2.384185791015625e-07,-4.71248197555542,1.1661314964294434,-1779.5731201171875,32500,81,6500,0.0007,6499,-12435.736446369998,155513.140625,100.0,400
0.0,-4.730908393859863,1.1735833883285522,-1568.468994140625,33000,82,6600,0.0007,6599,-12441.61917812,155608.359375,100.0,400
-2.384185791015625e-07,-4.731616497039795,1.1737258434295654,-1564.2569580078125,33500,83,6700,0.0007,6699,-12437.7666207,164045.984375,100.0,400
0.0,-4.764164924621582,1.186416506767273,-1530.6319580078125,34000,84,6800,0.0007,6799,-12443.59291534,152325.84375,100.0,400
0.0,-4.785736083984375,1.194555401802063,-2003.0400390625,34500,86,6900,0.0007,6899,-12468.81022371,158089.734375,100.0,400
0.0,-4.789045333862305,1.1956866979599,-2199.68115234375,35000,87,7000,0.0007,6999,-12488.99782158,146837.15625,100.0,400
0.0,-4.803197860717773,1.2016944885253906,-1969.2855224609373,35500,88,7100,0.0007,7099,-12518.71838767,167822.625,100.0,400
5.960464477539063e-08,-4.81103515625,1.205113410949707,-1624.9573974609375,36000,89,7200,0.0007,7199,-12558.80547615,154305.734375,100.0,400
-1.1920928955078125e-07,-4.814126968383789,1.2066318988800049,-1628.322509765625,36500,91,7300,0.0007,7299,-12582.930591980004,167968.875,100.0,400
1.1920928955078125e-07,-4.81416654586792,1.2060401439666748,-1718.0037841796875,37000,92,7400,0.0007,7399,-12613.63235486,164531.984375,100.0,400
0.0,-4.7960848808288565,1.1987078189849854,-1776.559814453125,37500,93,7500,0.0007,7499,-12622.555209930002,144369.609375,100.0,400
5.960464477539063e-08,-4.807405471801758,1.2045377492904663,-1593.1397705078125,38000,94,7600,0.0007,7599,-12629.267114629994,146737.4375,100.0,400
0.0,-4.821578502655028,1.2106022834777832,-1458.47802734375,38500,96,7700,0.0007,7699,-12635.017999680005,138692.203125,100.0,400
0.0,-4.824663162231445,1.2121212482452393,-1639.9449462890625,39000,97,7800,0.0007,7799,-12643.787099329998,164080.203125,100.0,400
1.1920928955078125e-07,-4.841591835021973,1.217320680618286,-2363.80615234375,39500,98,7900,0.0007,7899,-12672.94116336,161755.796875,100.0,400
0.0,-4.871782779693604,1.2307947874069214,-1597.5377197265625,40000,99,8000,0.0007,7999,-12686.02402063,154826.328125,100.0,400
0.0,-4.886537075042725,1.2358198165893557,-2019.850830078125,40500,101,8100,0.0007,8099,-12693.321830089995,155566.21875,100.0,400
-1.1920928955078125e-07,-4.893077373504639,1.2391914129257202,-1892.0374755859373,41000,102,8200,0.0007,8199,-12676.64358756,146640.046875,100.0,400
