train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-4.26416015625,100.0,17,-1395.1685791015625,1800,-12137.229004455558,500,0.0007,1.4126300811767578e-05,9000,1.0026659965515137,1799,142263.5
-4.272161960601807,100.0,18,-1363.9334716796875,1900,-12137.54363893684,501,0.0007,1.0848045349121094e-05,9500,1.0054991245269775,1899,150637.40625
-4.2841758728027335,100.0,19,-1401.240478515625,2000,-12139.404489729995,502,0.0007,4.303455352783203e-05,10000,1.0091723203659058,1999,133987.390625
-4.287603855133057,100.0,20,-1192.416259765625,2100,-12153.89969503,503,0.0007,-7.748603820800781e-06,10500,1.0112149715423584,2099,153837.859375
-4.308103084564209,100.0,21,-1562.7574462890625,2200,-12182.26805052,504,0.0007,1.609325408935547e-05,11000,1.017343044281006,2199,150878.46875
-4.320701599121094,100.0,22,-1527.1497802734375,2300,-12188.62268903,505,0.0007,-2.384185791015625e-07,11500,1.0216300487518308,2299,137157.609375
-4.3331031799316415,100.0,23,-1247.336181640625,2400,-12196.940087109995,506,0.0007,-3.5762786865234364e-07,12000,1.0264285802841189,2399,138259.6875
-4.3450870513916025,100.0,24,-2072.005859375,2500,-12201.800514130002,507,0.0007,0.0,12500,1.02948260307312,2499,162460.984375
-4.34804105758667,100.0,25,-1518.5086669921875,2600,-12224.8791495,507,0.0007,3.5762786865234364e-07,13000,1.0311851501464844,2599,139583.578125
-4.3612213134765625,100.0,26,-1309.1590576171875,2700,-12253.18548473,508,0.0007,1.1920928955078125e-07,13500,1.036158323287964,2699,146235.109375
-4.375193119049071,100.0,27,-1386.0091552734375,2800,-12260.880579529996,508,0.0007,5.960464477539063e-08,14000,1.0410636663436892,2799,161069.078125
-4.397076606750488,100.0,28,-1240.9490966796875,2900,-12279.234507,509,0.0007,0.0,14500,1.0488946437835691,2899,149445.671875
-4.400603771209717,100.0,29,-1660.126220703125,3000,-12301.55889931,509,0.0007,0.0,15000,1.049312949180603,2999,169366.609375
-4.410211086273193,100.0,30,-1460.3548583984375,3100,-12333.23693372,510,0.0007,0.0,15500,1.0530083179473877,3099,162461.234375
-4.408502578735352,100.0,31,-1488.4300537109375,3200,-12366.544090169995,510,0.0007,1.1920928955078125e-07,16000,1.0524392127990725,3199,168667.3125
-4.427957534790039,100.0,32,-1495.7850341796875,3300,-12399.59065757,511,0.0007,0.0,16500,1.0592316389083862,3299,164945.375
-4.468130111694336,100.0,33,-1431.6962890625,3400,-12432.278081179997,511,0.0007,1.1920928955078125e-07,17000,1.0737013816833496,3399,173803.34375
-4.505218505859375,100.0,34,-1365.714111328125,3500,-12468.71625045,512,0.0007,5.960464477539063e-08,17500,1.0867270231246948,3499,157048.125
-4.508458137512207,100.0,35,-1358.83984375,3600,-12493.946265100001,512,0.0007,0.0,18000,1.0883607864379885,3599,168222.25
-4.514535903930664,100.0,36,-1411.0174560546875,3700,-12528.57453227,512,0.0007,0.0,18500,1.0902876853942869,3699,159105.203125
-4.522572994232178,100.0,37,-1602.26611328125,3800,-12562.746913580002,513,0.0007,1.1920928955078125e-07,19000,1.0929384231567385,3799,164928.484375
-4.5439791679382315,100.0,37,-1619.1201171875,3900,-12603.99768432,513,0.0007,-1.1920928955078125e-07,19500,1.1005672216415403,3899,159037.65625
-4.558589458465576,100.0,38,-1854.4984130859373,4000,-12634.71511205,513,0.0007,0.0,20000,1.1055859327316284,3999,164133.125
-4.561898708343506,100.0,39,-1572.5439453125,4100,-12669.06883211,513,0.0007,-1.1920928955078125e-07,20500,1.107309103012085,4099,156989.578125
-4.585443496704102,100.0,40,-1565.4351806640625,4200,-12703.410301829996,514,0.0007,0.0,21000,1.1161140203475952,4199,155724.5
-4.605330944061278,100.0,41,-1693.880126953125,4300,-12730.55994213,514,0.0007,1.1920928955078125e-07,21500,1.1234266757965088,4299,160325.796875
-4.629447937011719,100.0,42,-1451.251953125,4400,-12764.40652154,514,0.0007,1.1920928955078125e-07,22000,1.1332128047943115,4399,166829.875
-4.666167736053467,100.0,43,-1532.5299072265625,4500,-12801.46925682,514,0.0007,0.0,22500,1.1470478773117063,4499,161365.375
-4.6540207862854,100.0,44,-1616.708251953125,4600,-12833.671990150002,515,0.0007,1.7881393432617188e-07,23000,1.1421233415603638,4599,161681.71875
-4.673532962799072,100.0,45,-1647.885009765625,4700,-12851.82749326,515,0.0007,-1.1920928955078125e-07,23500,1.149683117866516,4699,158475.546875
-4.683876991271973,100.0,46,-1488.0369873046875,4800,-12876.179443370002,515,0.0007,1.1920928955078125e-07,24000,1.1540477275848389,4799,146847.90625
-4.7081637382507315,100.0,47,-1699.5921630859375,4900,-12894.92837679,515,0.0007,5.960464477539063e-08,24500,1.163183569908142,4899,166481.578125
-4.708203315734863,100.0,48,-1726.0814208984375,5000,-12902.556646970002,515,0.0007,0.0,25000,1.162798285484314,4999,166033.71875
-4.7083282470703125,100.0,49,-2326.357421875,5100,-12910.46224275,516,0.0007,5.960464477539063e-08,25500,1.161981463432312,5099,170153.109375
-4.741414546966553,100.0,50,-1896.720703125,5200,-12895.85778483,516,0.0007,0.0,26000,1.1755263805389404,5199,157980.078125
-4.74388313293457,100.0,51,-2045.0457763671875,5300,-12876.125158779998,516,0.0007,1.1920928955078125e-07,26500,1.1763046979904177,5299,157921.875
-4.736458778381348,100.0,52,-1697.655517578125,5400,-12855.94022179,516,0.0007,-1.1920928955078125e-07,27000,1.1739343404769895,5399,159602.015625
-4.748458862304688,100.0,53,-1883.3082275390625,5500,-12840.73822079,516,0.0007,-1.1920928955078125e-07,27500,1.1780812740325928,5499,152675.671875
-4.7460784912109375,100.0,54,-1502.3704833984375,5600,-12808.893133619997,516,0.0007,-1.1920928955078125e-07,28000,1.1776559352874756,5599,133000.296875
-4.773255348205566,100.0,55,-1524.05517578125,5700,-12781.94761425,516,0.0007,5.960464477539063e-08,28500,1.1887997388839722,5699,149586.109375
-4.7637481689453125,100.0,56,-1573.2662353515625,5800,-12758.227237549994,517,0.0007,0.0,29000,1.1847240924835205,5799,148968.921875
-4.7843360900878915,100.0,57,-2246.928466796875,5900,-12758.82501429,517,0.0007,-2.384185791015625e-07,29500,1.191556453704834,5899,161274.25
-4.790672302246094,100.0,57,-1478.1737060546875,6000,-12761.367975519996,517,0.0007,0.0,30000,1.1958768367767334,5999,145299.21875
-4.796287059783936,100.0,58,-1403.2103271484375,6100,-12761.70957041,517,0.0007,0.0,30500,1.1985421180725098,6099,150756.984375
-4.819462776184082,100.0,59,-2085.1875,6200,-12749.788334119998,517,0.0007,0.0,31000,1.206504225730896,6199,168175.484375
-4.829627513885498,100.0,60,-1609.6717529296875,6300,-12750.393790370004,517,0.0007,-1.1920928955078125e-07,31500,1.2115391492843628,6299,154097.171875
-4.8486666679382315,100.0,61,-1531.222412109375,6400,-12744.08044199,517,0.0007,0.0,32000,1.2193840742111206,6399,157820.875
-4.871210098266602,100.0,62,-1654.037109375,6500,-12730.3596986,517,0.0007,-1.1920928955078125e-07,32500,1.228424072265625,6499,166076.84375
-4.8862643241882315,100.0,63,-2247.311767578125,6600,-12723.508764579998,517,0.0007,5.960464477539063e-08,33000,1.2332733869552612,6599,161954.5
-4.883979320526123,100.0,64,-1765.6541748046875,6700,-12740.71255983,517,0.0007,-1.1920928955078125e-07,33500,1.233743667602539,6699,172401.078125
-4.9080424308776855,100.0,65,-1634.9959716796875,6800,-12750.310426699994,517,0.0007,1.1920928955078125e-07,34000,1.2438043355941772,6799,157778.734375
