train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
18600,124,188,89135.62775390623,0.001,150,-11429.64527842,100.0,18800,2371.154228515625
19000,127,192,98448.24353515623,0.001,150,-11457.26433382,100.0,19200,2405.259453125
19400,130,196,116321.03256225586,0.001,150,-11506.15596624,100.0,19600,2397.0909130859377
19800,133,200,115050.74432617187,0.001,150,-11549.906262009998,100.0,20000,2406.789780273437
20200,135,204,121634.98346923829,0.001,150,-11602.94125004,100.0,20400,2384.98466796875
20600,138,208,100477.2905883789,0.001,150,-11650.919744679995,100.0,20800,2354.599301757813
21000,141,212,108189.30211914064,0.001,150,-11709.111413310002,100.0,21200,2329.615903320313
21400,143,216,132951.28957519532,0.001,150,-11753.52553878,100.0,21600,2289.208002929688
21800,146,220,103925.8314794922,0.001,150,-11800.61470354,100.0,22000,2235.7923754882813
22200,149,224,90662.64493896485,0.001,150,-11835.970864840005,100.0,22400,2195.393544921875
22600,151,228,118776.28352294922,0.001,150,-11889.059065100002,100.0,22800,2148.3681396484376
23000,154,232,108073.6054760742,0.001,150,-11940.886479050005,100.0,23200,2124.6147973632815
23400,157,236,105005.22108642578,0.001,150,-11994.62552515,100.0,23600,2087.547751464844
23800,159,240,110379.104453125,0.001,150,-12053.30424504,100.0,24000,2083.0817651367192
24200,162,244,72735.14134033202,0.001,149,-12098.85913633,100.0,24400,2076.999079589844
24600,165,248,83655.17543579101,0.001,149,-12128.91106671,100.0,24800,2053.3290502929685
25000,168,252,74840.59158813476,0.001,149,-12133.471739330002,100.0,25200,2075.014521484375
25400,170,256,79502.17433105469,0.001,149,-12164.224978160002,100.0,25600,2091.3324682617185
25800,173,260,92140.84642089844,0.001,149,-12241.49687467,100.0,26000,2088.847541503906
26200,176,264,80951.00635498046,0.001,149,-12311.85540127,100.0,26400,2142.5223364257813
26600,178,268,86166.15110961914,0.001,149,-12346.035265379998,100.0,26800,2167.0212744140626
27000,181,272,91087.81935302734,0.001,149,-12373.725405009998,100.0,27200,2170.1384887695312
27400,184,276,107733.6347631836,0.001,149,-12401.590074870002,100.0,27600,2209.3241357421875
27800,186,280,118398.50870605471,0.001,149,-12435.24594161,100.0,28000,2240.13841796875
28200,189,284,104982.15588256836,0.001,149,-12435.74503467,100.0,28400,2286.476064453125
28600,192,288,100944.86401611328,0.001,149,-12426.8090896,100.0,28800,2311.079418945313
29000,194,292,122445.24232666015,0.001,149,-12411.49660732,100.0,29200,2357.77150390625
29400,197,296,108808.6362084961,0.001,149,-12345.607091180002,100.0,29600,2389.570776367188
