time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
112400,1124,-1068.77012974,153,100.0,112200,3124.4500146484374,161273.2113598633,733,0.001
112800,1128,-887.2724465800001,153,100.0,112600,3113.828681640625,161910.68775634764,736,0.001
113200,1132,-816.6451618299999,153,100.0,113000,3085.029287109375,155184.60274169923,739,0.001
113600,1136,-740.7783149699999,153,100.0,113400,3092.2887646484373,127708.48376464844,741,0.001
114000,1140,-427.01832837,153,100.0,113800,3051.9201904296874,159426.19260986327,744,0.001
114400,1144,-333.20252688,153,100.0,114200,3044.4165966796877,122765.23563476563,746,0.001
114800,1148,-260.08702082,153,100.0,114600,3018.0342919921877,164130.4716748047,749,0.001
115200,1152,-252.19448087,153,100.0,115000,3008.301484375,130820.96621337891,752,0.001
115600,1156,-200.86015979000004,153,100.0,115400,2965.53234375,129900.15864257813,754,0.001
116000,1160,-191.46689467,153,100.0,115800,2953.353876953125,125419.30387939453,757,0.001
116400,1164,-181.11003486,153,100.0,116200,2940.3471630859376,149115.56032714844,759,0.001
116800,1168,-172.93953366999997,153,100.0,116600,2898.5254541015624,130893.41000732422,762,0.001
117200,1172,-163.47375264,153,100.0,117000,2883.8655859375,146411.25145751954,765,0.001
117600,1176,-154.99590591999998,153,100.0,117400,2880.813642578125,122657.47591552735,767,0.001
118000,1180,-147.88580159,153,100.0,117800,2850.3582177734374,135437.94946289062,770,0.001
118400,1184,-141.20509905,153,100.0,118200,2796.730205078125,186384.46937011718,772,0.001
118800,1188,-134.30664183000002,153,100.0,118600,2798.174619140625,130372.60041503907,775,0.001
119200,1192,-125.14234021,153,100.0,119000,2753.6483837890623,131947.21478027344,778,0.001
119600,1196,-115.77529585999997,153,100.0,119400,2758.841962890625,137653.3258935547,780,0.001
