rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,27200,27000,272,155,-16167.321485900002,4439.25966796875,275921.6888916016,174,0.001
100.0,27600,27400,276,155,-16167.93196357,4449.96376953125,410117.2091015625,177,0.001
100.0,28000,27800,280,155,-16149.29064539,4479.17181640625,317205.06876708986,179,0.001
100.0,28400,28200,284,155,-16172.278629649998,4461.609892578125,286905.10921875,182,0.001
100.0,28800,28600,288,155,-16153.49347949,4459.09537109375,351538.9387890625,184,0.001
100.0,29200,29000,292,155,-16133.303457410002,4502.855166015625,349511.3324755859,187,0.001
100.0,29600,29400,296,155,-16139.101614460002,4509.373125,318468.0200439453,190,0.001
100.0,30000,29800,300,155,-16129.20208584,4515.4202734375,392151.035859375,192,0.001
100.0,30400,30200,304,155,-16141.073921759995,4520.254169921875,345377.8248974609,195,0.001
100.0,30800,30600,308,155,-16177.59435919,4494.461533203125,305393.7153027344,197,0.001
100.0,31200,31000,312,155,-16210.23966932,4517.52263671875,311722.5573120117,200,0.001
100.0,31600,31400,316,155,-16219.53371108,4487.853779296875,372564.8224340821,202,0.001
100.0,32000,31800,320,155,-16260.10237795,4498.391201171875,342483.21736328123,205,0.001
100.0,32400,32200,324,155,-16244.24615308,4491.860595703125,406585.5545996094,208,0.001
100.0,32800,32600,328,155,-16297.057936079998,4515.54908203125,251328.0709057617,210,0.001
100.0,33200,33000,332,155,-16328.10346871,4487.555947265625,350931.9942114258,213,0.001
100.0,33600,33400,336,155,-16361.719417259996,4478.96365234375,302774.6148046875,215,0.001
100.0,34000,33800,340,155,-16358.105840620005,4502.83771484375,327370.1880859375,218,0.001
100.0,34400,34200,344,155,-16442.82918376,4480.79884765625,356210.7137841797,221,0.001
100.0,34800,34600,348,155,-16639.38704198,4489.312060546875,291070.8202270508,223,0.001
100.0,35200,35000,352,155,-16686.02723785,4439.079443359375,351952.8009741211,226,0.001
100.0,35600,35400,356,155,-16791.00756718,4444.245224609375,329625.3023730469,228,0.001
100.0,36000,35800,360,155,-16908.551438050003,4441.88755859375,346196.269296875,231,0.001
100.0,36400,36200,364,155,-17005.79013005,4431.654716796875,369667.3208154297,234,0.001
100.0,36800,36600,368,155,-17136.238345050002,4420.7971484375,261662.1257421875,236,0.001
100.0,37200,37000,372,155,-17268.179449979998,4395.5046484375,366540.6044165039,239,0.001
100.0,37600,37400,376,155,-17398.62334924,4385.759892578125,305079.92680664064,241,0.001
100.0,38000,37800,380,155,-17554.08677172,4371.700805664063,285190.8565527344,244,0.001
100.0,38400,38200,384,155,-17690.93688926,4381.890830078125,273418.4446533203,247,0.001
100.0,38800,38600,388,155,-17776.73257782,4360.316821289062,301077.8706201172,249,0.001
100.0,39200,39000,392,155,-17869.6505627,4362.660903320312,307999.03692626953,252,0.001
100.0,39600,39400,396,155,-17914.66378402,4347.557392578125,385654.9287304687,254,0.001
100.0,40000,39800,400,155,-17966.51666049,4348.009345703125,275618.52939208987,257,0.001
100.0,40400,40200,404,155,-17983.62434795,4319.398754882813,293076.06171875,259,0.001
100.0,40800,40600,408,155,-17970.872824190003,4310.79134765625,270217.841640625,262,0.001
100.0,41200,41000,412,155,-17955.46622029,4333.6778125,312668.11443847656,264,0.001
100.0,41600,41400,416,155,-17950.242688140002,4340.937041015625,270104.88055908197,267,0.001
100.0,42000,41800,420,155,-17909.88065254,4303.07677734375,310211.54580566403,270,0.001
100.0,42400,42200,424,155,-17935.103439400005,4342.363198242188,284660.1528979492,272,0.001
100.0,42800,42600,428,155,-17917.03183662,4327.549755859375,306558.11048828124,275,0.001
100.0,43200,43000,432,155,-17885.787908550003,4346.812934570313,276234.5241943359,277,0.001
100.0,43600,43400,436,155,-17870.47526322,4334.10294921875,295838.9736181641,280,0.001
100.0,44000,43800,440,155,-17915.24017859,4335.918095703125,291046.6507080078,282,0.001
100.0,44400,44200,444,155,-17874.121701360003,4309.609458007813,293665.4240063477,285,0.001
100.0,44800,44600,448,155,-17740.609580319993,4313.185454101563,333632.4425048828,287,0.001
100.0,45200,45000,452,155,-17708.11464787,4317.56337890625,293176.21356445306,290,0.001
100.0,45600,45400,456,155,-17636.530099910007,4312.80560546875,316821.7179638672,293,0.001
100.0,46000,45800,460,155,-17549.380602080004,4300.7008203125,311073.7092675781,295,0.001
100.0,46400,46200,464,155,-17446.866963840002,4327.9555859375,280608.89273925783,298,0.001
100.0,46800,46600,468,155,-17381.27996514,4307.73015625,344993.7303857422,300,0.001
100.0,47200,47000,472,155,-17356.938090760006,4308.952465820313,357828.40818359377,303,0.001
100.0,47600,47400,476,155,-17232.34380058,4317.1591357421885,329470.565546875,305,0.001
100.0,48000,47800,480,155,-17114.41158819,4318.961748046875,298902.20397460944,308,0.001
100.0,48400,48200,484,155,-16965.631186239996,4329.96544921875,312471.5607421875,310,0.001
100.0,48800,48600,488,155,-16947.95760067,4320.625,318991.2397705078,313,0.001
100.0,49200,49000,492,155,-16998.69807192,4290.245625,253418.52229248045,315,0.001
100.0,49600,49400,496,155,-16988.120881659997,4340.911962890625,260048.69034423828,318,0.001
100.0,50000,49800,500,155,-17023.356272609995,4351.88154296875,315259.4869750977,320,0.001
100.0,50400,50200,504,155,-17017.347107920003,4377.3597265625,300302.13080810546,323,0.001
100.0,50800,50600,508,155,-17011.056008,4365.227612304688,317514.3686669922,325,0.001
100.0,51200,51000,512,155,-17052.85924356,4363.95208984375,291980.00406982424,328,0.001
100.0,51600,51400,516,156,-17099.366450780002,4378.04572265625,251879.91336914068,330,0.001
100.0,52000,51800,520,156,-17110.423018319998,4410.7756640625,247461.8409423828,333,0.001
100.0,52400,52200,524,156,-17121.106590199997,4390.397470703125,265816.5026049805,335,0.001
100.0,52800,52600,528,156,-17099.079269629998,4431.392177734375,273487.15337402344,338,0.001
100.0,53200,53000,532,156,-17167.88168545,4418.564287109375,282367.18151367194,340,0.001
100.0,53600,53400,536,156,-17188.66547993,4440.829765625,268348.3456494141,343,0.001
100.0,54000,53800,540,155,-17149.3804887,4455.8998046875,289647.2213330078,346,0.001
100.0,54400,54200,544,155,-17113.69113032,4500.4493359375,270367.8655175781,348,0.001
100.0,54800,54600,548,156,-17101.27572685,4464.3191796875,353040.5739160156,351,0.001
100.0,55200,55000,552,156,-17086.15518545,4456.810009765625,237487.45640136718,353,0.001
100.0,55600,55400,556,156,-17036.899436300002,4477.534375,280408.5943945313,356,0.001
