rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-34614.3797677,2300,1.1920928955078125e-07,1.0668781995773315,-4550.38818359375,2299,-4.447004795074463,464,100.0,24,11500,1327769.75,0.0007
-34853.98008259,2400,8.344650268554688e-07,1.0642383098602295,-4954.8212890625,2399,-4.440246105194092,466,100.0,25,12000,1371828.75,0.0007
-35116.44107901001,2500,6.556510925292969e-07,1.0738472938537598,-3702.684326171875,2499,-4.466477394104004,468,100.0,26,12500,952356.0,0.0007
-35373.78079736001,2600,5.960464477539063e-08,1.0743786096572876,-5718.5791015625,2599,-4.470057010650635,466,100.0,27,13000,1363339.375,0.0007
-35551.05203577,2700,4.76837158203125e-07,1.0826505422592163,-3791.458740234375,2699,-4.490867614746094,467,100.0,28,13500,1073433.125,0.0007
-35647.780406570004,2800,0.0,1.0941947698593142,-3328.335693359375,2799,-4.521569728851318,469,100.0,29,14000,890814.8125,0.0007
-35805.935928399995,2900,0.0,1.1017613410949707,-3448.164794921875,2899,-4.542327880859375,470,100.0,30,14500,964463.125,0.0007
-35907.10850681001,3000,2.9802322387695307e-07,1.1026874780654907,-4971.02490234375,2999,-4.545879364013672,471,100.0,31,15000,1397327.25,0.0007
-35885.38588881001,3100,1.7881393432617188e-07,1.1063199043273926,-5096.81884765625,3099,-4.55755615234375,472,100.0,32,15500,1046955.4375,0.0007
-35871.4980224,3200,0.0,1.1118621826171875,-4118.4248046875,3199,-4.569488048553467,472,100.0,33,16000,1071731.875,0.0007
-35877.82265188,3300,0.0,1.113447666168213,-4292.9072265625,3299,-4.573117256164551,470,100.0,35,16500,1101867.875,0.0007
-35812.340736870014,3400,-1.1920928955078125e-07,1.1133615970611572,-4768.40087890625,3399,-4.574575901031494,469,100.0,36,17000,984737.4375,0.0007
-35671.572487779995,3500,1.1920928955078125e-07,1.1139857769012451,-3683.770751953125,3499,-4.573819637298584,467,100.0,37,17500,660861.625,0.0007
-35512.74879464001,3600,1.1920928955078125e-07,1.1182764768600464,-3977.01025390625,3599,-4.583478927612305,466,100.0,38,18000,879630.8125,0.0007
-35343.65822215001,3700,0.0,1.1296849250793457,-4285.51123046875,3699,-4.613880157470703,466,100.0,39,18500,1210738.375,0.0007
-35258.21003460999,3800,1.1920928955078125e-07,1.125314474105835,-3558.285888671875,3799,-4.601359844207764,466,100.0,40,19000,917578.6875,0.0007
-35140.32171790999,3900,0.0,1.1247787475585938,-5473.95654296875,3899,-4.603616237640381,466,100.0,41,19500,1265246.0,0.0007
-35024.05095935,4000,0.0,1.11976957321167,-4465.07666015625,3999,-4.590325355529785,467,100.0,42,20000,917402.8125,0.0007
-34929.37710258,4100,-1.1920928955078125e-07,1.120509386062622,-4319.83447265625,4099,-4.591859817504883,468,100.0,43,20500,1128367.625,0.0007
-34824.70141437,4200,1.7881393432617188e-07,1.1135143041610718,-2712.411376953125,4199,-4.572053909301758,469,100.0,44,21000,528833.125,0.0007
-34694.83333788,4300,5.960464477539063e-08,1.1165575981140137,-4485.66162109375,4299,-4.580111026763916,470,100.0,45,21500,1168153.375,0.0007
-34500.01194138001,4400,2.384185791015625e-07,1.1210591793060305,-3872.48095703125,4399,-4.5918922424316415,470,100.0,46,22000,870980.625,0.0007
-34319.73507963,4500,0.0,1.1274617910385132,-4068.958251953125,4499,-4.608461380004883,471,100.0,47,22500,1005222.1875,0.0007
-34092.23453638,4600,1.1920928955078125e-07,1.1263329982757568,-4556.841796875,4599,-4.6053500175476065,472,100.0,48,23000,1246022.75,0.0007
-33957.42317976,4700,1.1920928955078125e-07,1.1287753582000732,-3348.303955078125,4699,-4.612584114074707,472,100.0,49,23500,655876.625,0.0007
-33868.747626719996,4800,0.0,1.12701153755188,-3768.5234375,4799,-4.60903263092041,473,100.0,50,24000,792048.4375,0.0007
-33708.08234333999,4900,1.1920928955078125e-07,1.1313765048980713,-3745.203857421875,4899,-4.6194939613342285,473,100.0,51,24500,1013694.5,0.0007
-33591.60535394,5000,-1.1920928955078125e-07,1.1340034008026123,-6613.91650390625,4999,-4.630019664764403,474,100.0,52,25000,1276351.0,0.0007
-33510.221058480005,5100,1.1920928955078125e-07,1.1367348432540894,-3735.775390625,5099,-4.635064125061035,474,100.0,53,25500,881116.5,0.0007
-33438.050557530005,5200,-1.1920928955078125e-07,1.1382296085357666,-4080.322998046875,5199,-4.639613628387451,475,100.0,54,26000,859435.8125,0.0007
-33268.09164674001,5300,0.0,1.1457734107971191,-2788.854248046875,5299,-4.65778923034668,475,100.0,55,26500,502897.40625,0.0007
