train/std,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,time/iterations,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/policy_loss
1.0175703763961792,-9786.083345199999,99,1,318,-4.309796333312988,0.0007,-0.00013709068298339844,100,109130.265625,500,100.0,-1360.6702880859375
1.0256236791610718,-9615.127289200002,199,2,395,-4.332606792449951,0.0007,0.008807539939880371,200,110065.7109375,1000,100.0,-1450.288818359375
1.0230164527893066,-9678.447183000002,299,3,430,-4.324756622314453,0.0007,-0.0006483793258666992,300,112031.828125,1500,100.0,-1328.342529296875
1.0222923755645752,-9762.768829699999,399,4,450,-4.322015762329102,0.0007,-0.00013530254364013672,400,111782.578125,2000,100.0,-1281.9632568359375
1.023313283920288,-9774.83497936,499,5,463,-4.324817180633545,0.0007,-1.9073486328125e-06,500,110685.5,2500,100.0,-1284.5955810546875
1.0204495191574097,-9823.273742933332,599,6,472,-4.316704750061035,0.0007,0.0015677213668823242,600,112551.5546875,3000,100.0,-1571.1131591796875
1.0265110731124878,-9857.687447199998,699,7,479,-4.334028720855713,0.0007,0.0018523335456848145,700,112048.3125,3500,100.0,-1160.1474609375
1.0325524806976318,-9904.38908115,799,8,484,-4.3524675369262695,0.0007,1.2695789337158203e-05,800,112105.0234375,4000,100.0,-1368.4268798828125
1.0335878133773804,-9940.384906222223,899,9,488,-4.356168746948242,0.0007,-1.1801719665527344e-05,900,111569.8515625,4500,100.0,-1419.6263427734375
1.0375232696533203,-9965.99679542,999,10,491,-4.366326332092285,0.0007,0.045337796211242676,1000,108833.578125,5000,100.0,-1541.19921875
1.0357086658477783,-9982.665895872728,1099,11,494,-4.364688873291016,0.0007,8.106231689453125e-06,1100,111825.0234375,5500,100.0,-1623.86083984375
1.0351694822311401,-9998.225654316666,1199,12,497,-4.357635498046875,0.0007,3.516674041748047e-06,1200,112263.828125,6000,100.0,-1187.1129150390625
1.0401556491851807,-10013.42015376923,1299,13,499,-4.373052597045898,0.0007,4.470348358154297e-05,1300,112212.0546875,6500,100.0,-1294.5068359375
1.0459506511688232,-10026.59327302857,1399,13,500,-4.387267589569092,0.0007,2.384185791015625e-05,1400,112130.3515625,7000,100.0,-1077.8109130859375
1.0496476888656616,-10036.272105813336,1499,14,502,-4.400649547576904,0.0007,5.662441253662109e-06,1500,112028.6015625,7500,100.0,-1371.3916015625
1.0544661283493042,-10051.2216925375,1599,15,503,-4.412795543670654,0.0007,1.2516975402832031e-05,1600,111939.1640625,8000,100.0,-1134.190673828125
1.0539745092391968,-10058.352757623528,1699,16,504,-4.410937786102295,0.0007,8.678436279296875e-05,1700,111709.5546875,8500,100.0,-1114.6219482421875
1.057709813117981,-10064.025442822223,1799,17,505,-4.423333168029785,0.0007,9.357929229736328e-06,1800,111359.2734375,9000,100.0,-1358.2274169921875
1.0582692623138428,-10071.084615273685,1899,18,506,-4.425261974334717,0.0007,7.69495964050293e-05,1900,111197.6484375,9500,100.0,-1332.3388671875
1.0557966232299805,-10064.758690499999,1999,19,507,-4.416797161102295,0.0007,1.621246337890625e-05,2000,111534.0390625,10000,100.0,-1255.6610107421875
1.0637123584747314,-10082.16064551,2099,20,508,-4.440106391906738,0.0007,7.152557373046875e-07,2100,111436.203125,10500,100.0,-1408.357421875
1.0688481330871582,-10123.81370518,2199,21,508,-4.455380439758301,0.0007,1.0728836059570312e-05,2200,111335.6015625,11000,100.0,-1626.2064208984375
1.0703158378601074,-10144.385469710001,2299,22,509,-4.4582109451293945,0.0007,2.682209014892578e-06,2300,111237.953125,11500,100.0,-1418.715087890625
1.0692517757415771,-10154.39604561,2399,23,509,-4.45331335067749,0.0007,7.68899917602539e-06,2400,111140.8046875,12000,100.0,-1107.5460205078125
1.0732216835021973,-10175.041117019999,2499,24,510,-4.465749740600586,0.0007,3.039836883544922e-06,2500,111041.3046875,12500,100.0,-1371.69970703125
1.0722568035125732,-10183.600968140001,2599,25,510,-4.462234020233154,0.0007,0.0,2600,110944.1171875,13000,100.0,-1190.7645263671875
1.0819556713104248,-10193.93356885,2699,26,511,-4.491254806518555,0.0007,1.7881393432617188e-07,2700,110558.2265625,13500,100.0,-1555.2640380859375
1.0827438831329346,-10194.66680139,2799,27,511,-4.493251323699951,0.0007,5.960464477539062e-07,2800,110590.1796875,14000,100.0,-1600.4173583984375
1.093103289604187,-10187.22443174,2899,28,512,-4.519440650939941,0.0007,0.0,2900,110068.515625,14500,100.0,-1432.34228515625
1.1052056550979614,-10190.222351440001,2999,29,512,-4.552211284637451,0.0007,0.0,3000,110227.8984375,15000,100.0,-1259.206787109375
1.1120712757110596,-10194.97941826,3099,30,512,-4.571279525756836,0.0007,0.0,3100,110454.1015625,15500,100.0,-1429.2528076171875
1.1196788549423218,-10198.295894300001,3199,31,513,-4.591184139251709,0.0007,3.6954879760742188e-06,3200,110226.578125,16000,100.0,-1410.15234375
1.1308082342147827,-10197.40753869,3299,32,513,-4.623260498046875,0.0007,-2.384185791015625e-07,3300,109233.6484375,16500,100.0,-1525.6273193359375
1.131612777709961,-10191.220390769999,3399,33,513,-4.626509189605713,0.0007,0.0,3400,110054.4765625,17000,100.0,-1619.07666015625
1.1306793689727783,-10191.44023815,3499,34,514,-4.622278690338135,0.0007,2.7418136596679688e-06,3500,108762.4765625,17500,100.0,-1424.0296630859375
1.1355218887329102,-10179.18910757,3599,34,514,-4.633183479309082,0.0007,5.960464477539062e-07,3600,107813.2734375,18000,100.0,-1210.2161865234375
