time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
106,16400,100.0,-16093.932825499998,53742.98799987793,153,164,0.001,16200,3443.521357421875
109,16800,100.0,-16145.679673399998,61524.892896728525,153,168,0.001,16600,3451.285085449219
112,17200,100.0,-16146.344420940002,91243.70446533203,153,172,0.001,17000,3466.837868652344
114,17600,100.0,-16172.01924484,73775.13209594728,153,176,0.001,17400,3474.218408203125
117,18000,100.0,-16235.56027239,81879.57512939454,153,180,0.001,17800,3481.714182128906
120,18400,100.0,-16350.50383342,84961.0240246582,153,184,0.001,18200,3467.003308105469
122,18800,100.0,-16485.77964965,79068.52191162111,153,188,0.001,18600,3472.42271484375
125,19200,100.0,-16575.449639500002,62431.69721191406,153,192,0.001,19000,3459.4653564453124
127,19600,100.0,-16640.83783844,93264.2494140625,153,196,0.001,19400,3470.6657666015626
130,20000,100.0,-16738.029157900004,79590.45779418945,153,200,0.001,19800,3478.1982958984377
133,20400,100.0,-16900.878843060003,93049.27472778321,153,204,0.001,20200,3446.6908374023437
135,20800,100.0,-16956.296008210003,82714.26563476563,153,208,0.001,20600,3460.85314453125
138,21200,100.0,-17027.80334462,83200.99044433594,153,212,0.001,21000,3434.4825146484377
140,21600,100.0,-17073.19129342,68367.15896606445,153,216,0.001,21400,3439.7138793945314
143,22000,100.0,-17121.5657223,81009.53124755861,153,220,0.001,21800,3397.6509204101562
146,22400,100.0,-17160.65846942,83362.14156860353,153,224,0.001,22200,3381.8137084960936
148,22800,100.0,-17232.15704911,96353.68281616212,153,228,0.001,22600,3371.27931640625
151,23200,100.0,-17332.09790103,85024.81043945313,153,232,0.001,23000,3332.3700634765623
153,23600,100.0,-17408.83919337,89163.37323486328,153,236,0.001,23400,3330.455778808593
156,24000,100.0,-17486.61720104,82907.04788696289,153,240,0.001,23800,3320.0998657226564
159,24400,100.0,-17587.98723835,78472.957109375,153,244,0.001,24200,3307.8687939453125
161,24800,100.0,-17692.54617414,75110.2829321289,153,248,0.001,24600,3331.838308105469
164,25200,100.0,-17746.58342204,82699.26603271485,153,252,0.001,25000,3320.459733886719
167,25600,100.0,-17742.78758008,78242.01917236327,153,256,0.001,25400,3337.4994970703124
169,26000,100.0,-17745.23904243,73623.70956665039,153,260,0.001,25800,3360.7760498046873
172,26400,100.0,-17740.49322348,72792.31926879883,153,264,0.001,26200,3373.06572265625
174,26800,100.0,-17698.31378961,73105.88052978515,153,268,0.001,26600,3409.8123071289065
177,27200,100.0,-17720.929307169994,73211.36400268554,153,272,0.001,27000,3435.634086914063
180,27600,100.0,-17708.54115211,86397.66093017579,153,276,0.001,27400,3452.6458935546875
182,28000,100.0,-17674.47503967,103572.80794799805,153,280,0.001,27800,3477.2329028320314
185,28400,100.0,-17563.395054630004,78736.56842895508,153,284,0.001,28200,3517.9503857421873
188,28800,100.0,-17458.135138440004,86267.70536865233,153,288,0.001,28600,3546.559365234375
190,29200,100.0,-17356.743180690006,105857.42251403807,153,292,0.001,29000,3557.0759936523436
193,29600,100.0,-17273.656264840007,82179.47659667968,153,296,0.001,29400,3583.2784790039063
195,30000,100.0,-17176.77144674,97143.814107666,153,300,0.001,29800,3616.3180102539054
198,30400,100.0,-17010.4838733,109954.94834350586,153,304,0.001,30200,3651.5374072265627
201,30800,100.0,-16937.37393764,105577.22270019533,153,308,0.001,30600,3668.361640625
203,31200,100.0,-16886.39746206,99231.39957763672,153,312,0.001,31000,3689.812253417969
206,31600,100.0,-16822.248355929998,101061.20341918943,153,316,0.001,31400,3734.4265747070312
209,32000,100.0,-16771.492248359995,79833.33572021485,153,320,0.001,31800,3726.8661572265614
211,32400,100.0,-16723.51293785,107905.36359252928,153,324,0.001,32200,3754.751997070312
214,32800,100.0,-16668.470961310006,106928.29389404297,153,328,0.001,32600,3788.735837402344
